kernel,degree,C,gamma,coef0,epsilon,MSE,MAE,R^2-Score,PCC
poly,2,1,0.1,1,0.01,13.538,2.807,0.295,0.677
poly,2,1,0.1,1,0.1,12.657,2.742,0.345,0.684
poly,2,1,0.1,1,0.5,11.839,2.666,0.379,0.678
poly,2,1,0.1,1,0.8,10.801,2.482,0.424,0.674
poly,2,1,0.1,2,0.01,13.64,2.811,0.288,0.677
poly,2,1,0.1,2,0.1,12.745,2.742,0.341,0.684
poly,2,1,0.1,2,0.5,11.786,2.665,0.382,0.681
poly,2,1,0.1,2,0.8,10.735,2.497,0.43,0.679
poly,2,1,0.1,3,0.01,13.685,2.814,0.285,0.677
poly,2,1,0.1,3,0.1,12.774,2.742,0.339,0.685
poly,2,1,0.1,3,0.5,11.767,2.665,0.383,0.682
poly,2,1,0.1,3,0.8,10.712,2.502,0.432,0.681
poly,2,1,0.1,4,0.01,13.696,2.815,0.284,0.677
poly,2,1,0.1,4,0.1,12.797,2.744,0.338,0.684
poly,2,1,0.1,4,0.5,11.779,2.666,0.383,0.682
poly,2,1,0.1,4,0.8,10.715,2.505,0.432,0.681
poly,2,1,0.01,1,0.01,8.96,2.347,0.541,0.746
poly,2,1,0.01,1,0.1,8.848,2.332,0.547,0.753
poly,2,1,0.01,1,0.5,9.13,2.403,0.537,0.749
poly,2,1,0.01,1,0.8,9.392,2.461,0.524,0.742
poly,2,1,0.01,2,0.01,9.066,2.362,0.534,0.741
poly,2,1,0.01,2,0.1,8.956,2.336,0.54,0.746
poly,2,1,0.01,2,0.5,9.207,2.408,0.532,0.743
poly,2,1,0.01,2,0.8,9.084,2.418,0.536,0.744
poly,2,1,0.01,3,0.01,9.143,2.38,0.53,0.739
poly,2,1,0.01,3,0.1,8.998,2.343,0.537,0.746
poly,2,1,0.01,3,0.5,9.231,2.416,0.53,0.739
poly,2,1,0.01,3,0.8,9.044,2.41,0.537,0.743
poly,2,1,0.01,4,0.01,9.149,2.38,0.529,0.738
poly,2,1,0.01,4,0.1,9.029,2.344,0.535,0.745
poly,2,1,0.01,4,0.5,9.193,2.413,0.532,0.739
poly,2,1,0.01,4,0.8,8.983,2.406,0.54,0.743
poly,2,1,0.001,1,0.01,12.335,2.722,0.386,0.745
poly,2,1,0.001,1,0.1,12.384,2.733,0.383,0.743
poly,2,1,0.001,1,0.5,12.986,2.799,0.352,0.748
poly,2,1,0.001,1,0.8,13.73,2.905,0.315,0.739
poly,2,1,0.001,2,0.01,10.728,2.553,0.464,0.747
poly,2,1,0.001,2,0.1,10.542,2.533,0.473,0.747
poly,2,1,0.001,2,0.5,10.923,2.584,0.455,0.751
poly,2,1,0.001,2,0.8,11.727,2.709,0.414,0.738
poly,2,1,0.001,3,0.01,10.03,2.484,0.496,0.746
poly,2,1,0.001,3,0.1,9.939,2.458,0.501,0.748
poly,2,1,0.001,3,0.5,10.119,2.505,0.493,0.752
poly,2,1,0.001,3,0.8,11.125,2.652,0.443,0.738
poly,2,1,0.001,4,0.01,9.735,2.447,0.509,0.744
poly,2,1,0.001,4,0.1,9.487,2.417,0.521,0.749
poly,2,1,0.001,4,0.5,9.725,2.459,0.512,0.753
poly,2,1,0.001,4,0.8,10.522,2.577,0.473,0.74
poly,2,5,0.1,1,0.01,31.34,3.59,-0.711,0.584
poly,2,5,0.1,1,0.1,22.86,3.349,-0.207,0.596
poly,2,5,0.1,1,0.5,18.697,3.119,-0.003,0.527
poly,2,5,0.1,1,0.8,16.947,2.9,0.056,0.558
poly,2,5,0.1,2,0.01,31.455,3.597,-0.717,0.583
poly,2,5,0.1,2,0.1,22.938,3.35,-0.211,0.595
poly,2,5,0.1,2,0.5,18.557,3.117,0.006,0.531
poly,2,5,0.1,2,0.8,16.604,2.902,0.078,0.563
poly,2,5,0.1,3,0.01,31.505,3.6,-0.72,0.583
poly,2,5,0.1,3,0.1,22.968,3.35,-0.213,0.595
poly,2,5,0.1,3,0.5,18.493,3.115,0.01,0.533
poly,2,5,0.1,3,0.8,16.504,2.903,0.085,0.565
poly,2,5,0.1,4,0.01,31.51,3.6,-0.72,0.583
poly,2,5,0.1,4,0.1,22.987,3.35,-0.214,0.595
poly,2,5,0.1,4,0.5,18.478,3.114,0.012,0.534
poly,2,5,0.1,4,0.8,16.436,2.903,0.089,0.565
poly,2,5,0.01,1,0.01,8.915,2.307,0.54,0.745
poly,2,5,0.01,1,0.1,8.801,2.293,0.548,0.748
poly,2,5,0.01,1,0.5,9.176,2.41,0.532,0.74
poly,2,5,0.01,1,0.8,8.785,2.386,0.547,0.746
poly,2,5,0.01,2,0.01,9.002,2.316,0.536,0.742
poly,2,5,0.01,2,0.1,8.87,2.303,0.544,0.746
poly,2,5,0.01,2,0.5,9.251,2.408,0.527,0.737
poly,2,5,0.01,2,0.8,8.93,2.397,0.539,0.742
poly,2,5,0.01,3,0.01,9.038,2.321,0.534,0.741
poly,2,5,0.01,3,0.1,8.889,2.304,0.543,0.746
poly,2,5,0.01,3,0.5,9.27,2.407,0.526,0.737
poly,2,5,0.01,3,0.8,8.976,2.401,0.537,0.741
poly,2,5,0.01,4,0.01,9.055,2.323,0.533,0.741
poly,2,5,0.01,4,0.1,8.903,2.306,0.542,0.745
poly,2,5,0.01,4,0.5,9.288,2.407,0.525,0.736
poly,2,5,0.01,4,0.8,9.003,2.403,0.536,0.74
poly,2,5,0.001,1,0.01,9.45,2.415,0.522,0.745
poly,2,5,0.001,1,0.1,9.338,2.4,0.527,0.749
poly,2,5,0.001,1,0.5,9.413,2.433,0.525,0.753
poly,2,5,0.001,1,0.8,10.108,2.536,0.493,0.741
poly,2,5,0.001,2,0.01,9.12,2.382,0.534,0.742
poly,2,5,0.001,2,0.1,9.1,2.365,0.535,0.746
poly,2,5,0.001,2,0.5,9.173,2.4,0.535,0.747
poly,2,5,0.001,2,0.8,9.43,2.459,0.522,0.74
poly,2,5,0.001,3,0.01,9.197,2.393,0.528,0.738
poly,2,5,0.001,3,0.1,9.163,2.37,0.53,0.743
poly,2,5,0.001,3,0.5,9.143,2.393,0.536,0.745
poly,2,5,0.001,3,0.8,9.259,2.436,0.529,0.739
poly,2,5,0.001,4,0.01,9.311,2.4,0.521,0.735
poly,2,5,0.001,4,0.1,9.239,2.376,0.525,0.739
poly,2,5,0.001,4,0.5,9.117,2.396,0.537,0.744
poly,2,5,0.001,4,0.8,9.175,2.434,0.532,0.741
poly,2,10,0.1,1,0.01,38.324,3.844,-1.074,0.565
poly,2,10,0.1,1,0.1,29.721,3.639,-0.578,0.57
poly,2,10,0.1,1,0.5,22.905,3.36,-0.222,0.495
poly,2,10,0.1,1,0.8,17.228,2.91,0.038,0.556
poly,2,10,0.1,2,0.01,38.49,3.85,-1.083,0.565
poly,2,10,0.1,2,0.1,29.943,3.646,-0.589,0.569
poly,2,10,0.1,2,0.5,22.741,3.356,-0.212,0.5
poly,2,10,0.1,2,0.8,16.85,2.911,0.062,0.561
poly,2,10,0.1,3,0.01,38.507,3.85,-1.085,0.565
poly,2,10,0.1,3,0.1,29.984,3.648,-0.591,0.569
poly,2,10,0.1,3,0.5,22.703,3.356,-0.209,0.501
poly,2,10,0.1,3,0.8,16.691,2.911,0.073,0.563
poly,2,10,0.1,4,0.01,38.546,3.852,-1.086,0.565
