kernel,C,gamma,epsilon,MSE,MAE,R^2-Score,PCC
RBF,5,0.1,0.001,14.254,2.959,0.277,0.585
RBF,5,0.1,0.01,14.211,2.956,0.279,0.586
RBF,5,0.1,0.1,13.699,2.933,0.303,0.6
RBF,5,0.1,0.5,11.298,2.712,0.426,0.666
RBF,5,0.1,0.8,11.252,2.688,0.427,0.672
RBF,5,0.01,0.001,9.157,2.36,0.531,0.736
RBF,5,0.01,0.01,9.155,2.362,0.531,0.736
RBF,5,0.01,0.1,9.152,2.365,0.531,0.735
RBF,5,0.01,0.5,9.235,2.405,0.531,0.736
RBF,5,0.01,0.8,8.825,2.386,0.548,0.75
RBF,5,0.001,0.001,9.492,2.415,0.521,0.745
RBF,5,0.001,0.01,9.486,2.412,0.521,0.745
RBF,5,0.001,0.1,9.318,2.392,0.529,0.749
RBF,5,0.001,0.5,9.471,2.436,0.522,0.752
RBF,5,0.001,0.8,10.12,2.536,0.493,0.744
RBF,5,0.0001,0.001,15.056,3.012,0.249,0.738
RBF,5,0.0001,0.01,15.044,3.01,0.25,0.738
RBF,5,0.0001,0.1,15.007,3.01,0.251,0.737
RBF,5,0.0001,0.5,15.218,3.023,0.239,0.741
RBF,5,0.0001,0.8,16.071,3.136,0.196,0.733
RBF,10,0.1,0.001,15.274,3.088,0.225,0.566
RBF,10,0.1,0.01,15.198,3.084,0.229,0.568
RBF,10,0.1,0.1,14.422,3.031,0.267,0.586
RBF,10,0.1,0.5,11.347,2.718,0.423,0.664
RBF,10,0.1,0.8,11.252,2.688,0.427,0.672
RBF,10,0.01,0.001,9.496,2.386,0.515,0.726
RBF,10,0.01,0.01,9.476,2.388,0.517,0.727
RBF,10,0.01,0.1,9.506,2.394,0.515,0.725
RBF,10,0.01,0.5,9.338,2.404,0.523,0.732
RBF,10,0.01,0.8,8.638,2.37,0.556,0.752
RBF,10,0.001,0.001,9.069,2.369,0.537,0.744
RBF,10,0.001,0.01,9.074,2.37,0.537,0.743
RBF,10,0.001,0.1,9.062,2.351,0.537,0.748
RBF,10,0.001,0.5,9.135,2.392,0.537,0.749
RBF,10,0.001,0.8,9.404,2.459,0.524,0.742
RBF,10,0.0001,0.001,12.363,2.727,0.385,0.745
RBF,10,0.0001,0.01,12.349,2.723,0.386,0.745
RBF,10,0.0001,0.1,12.4,2.734,0.382,0.743
RBF,10,0.0001,0.5,12.99,2.799,0.351,0.748
RBF,10,0.0001,0.8,13.749,2.907,0.314,0.739
RBF,15,0.1,0.001,15.689,3.136,0.204,0.559
RBF,15,0.1,0.01,15.604,3.13,0.208,0.56
RBF,15,0.1,0.1,14.674,3.061,0.254,0.581
RBF,15,0.1,0.5,11.347,2.718,0.423,0.664
RBF,15,0.1,0.8,11.252,2.688,0.427,0.672
RBF,15,0.01,0.001,9.865,2.425,0.497,0.718
RBF,15,0.01,0.01,9.873,2.423,0.497,0.718
RBF,15,0.01,0.1,9.883,2.417,0.496,0.717
RBF,15,0.01,0.5,9.278,2.393,0.524,0.734
RBF,15,0.01,0.8,8.674,2.357,0.554,0.752
RBF,15,0.001,0.001,9.111,2.372,0.534,0.74
RBF,15,0.001,0.01,9.113,2.372,0.533,0.739
RBF,15,0.001,0.1,9.044,2.349,0.537,0.744
RBF,15,0.001,0.5,9.117,2.391,0.537,0.746
RBF,15,0.001,0.8,9.129,2.43,0.535,0.743
RBF,15,0.0001,0.001,11.26,2.607,0.439,0.749
RBF,15,0.0001,0.01,11.256,2.608,0.439,0.749
RBF,15,0.0001,0.1,11.175,2.606,0.443,0.748
RBF,15,0.0001,0.5,11.829,2.68,0.411,0.749
RBF,15,0.0001,0.8,12.659,2.806,0.368,0.735
RBF,20,0.1,0.001,15.753,3.155,0.2,0.559
RBF,20,0.1,0.01,15.665,3.15,0.204,0.56
RBF,20,0.1,0.1,14.829,3.086,0.247,0.577
RBF,20,0.1,0.5,11.347,2.718,0.423,0.664
RBF,20,0.1,0.8,11.252,2.688,0.427,0.672
RBF,20,0.01,0.001,10.189,2.457,0.479,0.711
RBF,20,0.01,0.01,10.213,2.456,0.478,0.71
RBF,20,0.01,0.1,10.264,2.472,0.476,0.707
RBF,20,0.01,0.5,9.327,2.411,0.521,0.733
RBF,20,0.01,0.8,8.776,2.364,0.549,0.75
RBF,20,0.001,0.001,9.183,2.373,0.529,0.738
RBF,20,0.001,0.01,9.179,2.375,0.529,0.737
RBF,20,0.001,0.1,9.099,2.354,0.533,0.742
RBF,20,0.001,0.5,9.173,2.402,0.534,0.742
RBF,20,0.001,0.8,9.065,2.424,0.538,0.744
RBF,20,0.0001,0.001,10.751,2.555,0.462,0.746
RBF,20,0.0001,0.01,10.729,2.553,0.464,0.747
RBF,20,0.0001,0.1,10.541,2.532,0.473,0.747
RBF,20,0.0001,0.5,10.934,2.585,0.454,0.751
RBF,20,0.0001,0.8,11.736,2.71,0.414,0.738
