CT severity score,Neg. Density,Pos. Density,All Density
10.0701,0.058,0.0953,0.0627
10.1202,0.0573,0.0945,0.062
10.1703,0.0565,0.0935,0.0613
10.2204,0.0558,0.0925,0.0605
10.2705,0.0551,0.0914,0.0598
10.3206,0.0543,0.0903,0.059
10.3707,0.0536,0.0891,0.0583
10.4208,0.053,0.0878,0.0575
10.4709,0.0523,0.0865,0.0568
10.521,0.0517,0.0851,0.0561
10.5711,0.051,0.0837,0.0553
10.6212,0.0505,0.0822,0.0546
10.6713,0.0499,0.0807,0.0539
10.7214,0.0493,0.0792,0.0532
10.7715,0.0488,0.0776,0.0525
10.8216,0.0483,0.076,0.0519
10.8717,0.0478,0.0744,0.0512
10.9218,0.0473,0.0728,0.0506
10.9719,0.0469,0.0712,0.0499
11.022,0.0465,0.0696,0.0493
11.0721,0.0461,0.068,0.0487
11.1222,0.0457,0.0664,0.0481
11.1723,0.0453,0.0649,0.0476
11.2224,0.045,0.0633,0.047
11.2725,0.0446,0.0618,0.0465
11.3226,0.0443,0.0603,0.046
11.3727,0.044,0.0589,0.0455
11.4228,0.0437,0.0575,0.045
11.4729,0.0434,0.0561,0.0445
11.523,0.0431,0.0548,0.0441
11.5731,0.0428,0.0535,0.0436
11.6232,0.0425,0.0523,0.0432
11.6733,0.0422,0.0511,0.0428
11.7234,0.0419,0.05,0.0424
11.7735,0.0416,0.0489,0.042
11.8236,0.0413,0.0479,0.0416
11.8737,0.0411,0.047,0.0412
11.9238,0.0408,0.0461,0.0408
11.9739,0.0405,0.0453,0.0405
12.024,0.0402,0.0445,0.0402
12.0741,0.0399,0.0438,0.0398
12.1242,0.0396,0.0432,0.0395
12.1743,0.0393,0.0426,0.0392
12.2244,0.039,0.0421,0.0389
12.2745,0.0387,0.0417,0.0386
12.3246,0.0384,0.0413,0.0383
12.3747,0.0381,0.041,0.0381
12.4248,0.0378,0.0407,0.0378
12.4749,0.0375,0.0405,0.0375
12.5251,0.0372,0.0403,0.0373
12.5752,0.0369,0.0402,0.0371
12.6253,0.0367,0.0402,0.0368
12.6754,0.0364,0.0402,0.0366
12.7255,0.0362,0.0402,0.0364
12.7756,0.0359,0.0403,0.0362
12.8257,0.0357,0.0405,0.036
12.8758,0.0355,0.0407,0.0358
12.9259,0.0352,0.041,0.0356
12.976,0.035,0.0413,0.0354
13.0261,0.0348,0.0417,0.0352
13.0762,0.0346,0.0421,0.035
13.1263,0.0344,0.0426,0.0349
13.1764,0.0342,0.0432,0.0347
13.2265,0.034,0.0437,0.0345
13.2766,0.0338,0.0444,0.0343
13.3267,0.0336,0.0451,0.0341
13.3768,0.0333,0.0458,0.0339
13.4269,0.0331,0.0466,0.0337
13.477,0.0328,0.0475,0.0335
13.5271,0.0326,0.0484,0.0333
13.5772,0.0323,0.0493,0.0331
13.6273,0.0319,0.0503,0.0328
13.6774,0.0316,0.0514,0.0326
13.7275,0.0312,0.0525,0.0323
13.7776,0.0308,0.0536,0.032
13.8277,0.0303,0.0548,0.0317
13.8778,0.0299,0.0561,0.0314
13.9279,0.0293,0.0574,0.0311
13.978,0.0288,0.0587,0.0308
14.0281,0.0282,0.06,0.0304
14.0782,0.0276,0.0614,0.0301
14.1283,0.0269,0.0629,0.0297
14.1784,0.0262,0.0643,0.0293
14.2285,0.0255,0.0658,0.0289
14.2786,0.0248,0.0673,0.0284
14.3287,0.024,0.0689,0.028
14.3788,0.0232,0.0704,0.0276
14.4289,0.0223,0.072,0.0271
14.479,0.0215,0.0735,0.0266
14.5291,0.0206,0.0751,0.0262
14.5792,0.0198,0.0766,0.0257
14.6293,0.0189,0.0781,0.0252
14.6794,0.018,0.0796,0.0247
14.7295,0.0171,0.0811,0.0242
14.7796,0.0162,0.0825,0.0237
14.8297,0.0153,0.084,0.0232
14.8798,0.0145,0.0853,0.0227
14.9299,0.0136,0.0866,0.0222
14.98,0.0128,0.0879,0.0217
15.0301,0.0119,0.0891,0.0212
15.0802,0.0111,0.0902,0.0207
15.1303,0.0104,0.0913,0.0202
15.1804,0.0096,0.0923,0.0197
15.2305,0.0089,0.0932,0.0193
15.2806,0.0082,0.094,0.0188
15.3307,0.0076,0.0947,0.0184
15.3808,0.0069,0.0954,0.0179
15.4309,0.0064,0.0959,0.0175
15.481,0.0058,0.0964,0.0171
15.5311,0.0053,0.0967,0.0167
15.5812,0.0048,0.097,0.0163
15.6313,0.0043,0.0971,0.0159
15.6814,0.0039,0.0971,0.0155
15.7315,0.0035,0.0971,0.0151
15.7816,0.0032,0.0969,0.0147
15.8317,0.0028,0.0966,0.0144
15.8818,0.0025,0.0962,0.014
15.9319,0.0022,0.0957,0.0137
15.982,0.002,0.0951,0.0133
16.0321,0.0018,0.0944,0.013
16.0822,0.0015,0.0936,0.0127
16.1323,0.0014,0.0927,0.0123
16.1824,0.0012,0.0917,0.012
16.2325,0.001,0.0906,0.0117
16.2826,0.0009,0.0894,0.0114
16.3327,0.0008,0.0881,0.0111
16.3828,0.0007,0.0868,0.0108
16.4329,0.0006,0.0853,0.0105
16.483,0.0005,0.0838,0.0102
16.5331,0.0004,0.0823,0.0099
16.5832,0.0004,0.0806,0.0096
16.6333,0.0003,0.0789,0.0093
16.6834,0.0003,0.0772,0.009
16.7335,0.0002,0.0754,0.0087
16.7836,0.0002,0.0735,0.0084
16.8337,0.0002,0.0716,0.0081
16.8838,0.0001,0.0697,0.0079
16.9339,0.0001,0.0677,0.0076
16.984,0.0001,0.0658,0.0073
17.0341,0.0001,0.0638,0.007
17.0842,0.0001,0.0617,0.0067
17.1343,0.0001,0.0597,0.0065
17.1844,0,0.0577,0.0062
17.2345,0,0.0557,0.0059
17.2846,0,0.0536,0.0057
17.3347,0,0.0516,0.0054
17.3848,0,0.0496,0.0052
17.4349,0,0.0476,0.0049
17.485,0,0.0457,0.0047
17.5351,0,0.0437,0.0044
17.5852,0,0.0418,0.0042
17.6353,0,0.0399,0.004
17.6854,0,0.0381,0.0037
17.7355,0,0.0363,0.0035
17.7856,0,0.0345,0.0033
17.8357,0,0.0328,0.0031
17.8858,0,0.0311,0.0029
17.9359,0,0.0295,0.0027
17.986,0,0.0279,0.0026
18.0361,0,0.0263,0.0024
18.0862,0,0.0248,0.0022
18.1363,0,0.0234,0.0021
18.1864,0,0.022,0.0019
18.2365,0,0.0207,0.0018
18.2866,0,0.0194,0.0016
18.3367,0,0.0182,0.0015
