kernel,degree,C,gamma,coef0,epsilon,MSE,MAE,R^2-Score,PCC
poly,2,5,0.001,1,0.8,10.129,2.532,0.475,0.747
poly,2,5,0.001,2,0.01,9.321,2.39,0.48,0.741
poly,2,5,0.001,2,0.1,9.147,2.351,0.493,0.752
poly,2,5,0.001,2,0.5,9.325,2.416,0.499,0.751
poly,2,5,0.001,2,0.8,9.666,2.482,0.484,0.745
poly,2,5,0.001,3,0.01,9.39,2.394,0.471,0.74
poly,2,5,0.001,3,0.1,9.237,2.362,0.482,0.749
poly,2,5,0.001,3,0.5,9.372,2.421,0.495,0.747
poly,2,5,0.001,3,0.8,9.415,2.456,0.491,0.746
poly,2,5,0.001,4,0.01,9.419,2.401,0.468,0.74
poly,2,5,0.001,4,0.1,9.193,2.355,0.481,0.748
poly,2,5,0.001,4,0.5,9.351,2.418,0.493,0.746
poly,2,5,0.001,4,0.8,9.381,2.455,0.488,0.746
poly,2,10,0.1,1,0.01,31.314,3.889,-0.936,0.528
poly,2,10,0.1,1,0.1,27.19,3.65,-0.619,0.56
poly,2,10,0.1,1,0.5,19.698,3.196,-0.151,0.582
poly,2,10,0.1,1,0.8,19.516,3.203,-0.193,0.516
poly,2,10,0.1,2,0.01,31.454,3.892,-0.946,0.528
poly,2,10,0.1,2,0.1,27.232,3.652,-0.621,0.56
poly,2,10,0.1,2,0.5,19.767,3.2,-0.156,0.582
poly,2,10,0.1,2,0.8,19.307,3.204,-0.179,0.521
poly,2,10,0.1,3,0.01,31.457,3.894,-0.946,0.527
poly,2,10,0.1,3,0.1,27.223,3.651,-0.621,0.56
poly,2,10,0.1,3,0.5,19.773,3.2,-0.156,0.582
poly,2,10,0.1,3,0.8,19.236,3.205,-0.175,0.522
poly,2,10,0.1,4,0.01,31.471,3.894,-0.947,0.527
poly,2,10,0.1,4,0.1,27.209,3.651,-0.62,0.56
poly,2,10,0.1,4,0.5,19.83,3.202,-0.16,0.582
poly,2,10,0.1,4,0.8,19.197,3.205,-0.172,0.523
poly,2,10,0.01,1,0.01,9.525,2.378,0.453,0.736
poly,2,10,0.01,1,0.1,9.468,2.377,0.459,0.736
poly,2,10,0.01,1,0.5,9.662,2.454,0.462,0.739
poly,2,10,0.01,1,0.8,9.13,2.408,0.48,0.743
poly,2,10,0.01,2,0.01,9.555,2.38,0.451,0.735
poly,2,10,0.01,2,0.1,9.469,2.377,0.458,0.736
poly,2,10,0.01,2,0.5,9.691,2.457,0.46,0.739
poly,2,10,0.01,2,0.8,9.302,2.422,0.469,0.739
poly,2,10,0.01,3,0.01,9.567,2.38,0.45,0.735
poly,2,10,0.01,3,0.1,9.472,2.377,0.458,0.736
poly,2,10,0.01,3,0.5,9.693,2.458,0.46,0.739
poly,2,10,0.01,3,0.8,9.387,2.429,0.463,0.736
poly,2,10,0.01,4,0.01,9.572,2.381,0.45,0.735
poly,2,10,0.01,4,0.1,9.474,2.378,0.458,0.736
poly,2,10,0.01,4,0.5,9.698,2.459,0.46,0.739
poly,2,10,0.01,4,0.8,9.421,2.433,0.461,0.736
poly,2,10,0.001,1,0.01,9.297,2.386,0.481,0.742
poly,2,10,0.001,1,0.1,9.15,2.351,0.493,0.752
poly,2,10,0.001,1,0.5,9.31,2.415,0.5,0.751
poly,2,10,0.001,1,0.8,9.662,2.483,0.484,0.745
poly,2,10,0.001,2,0.01,9.426,2.4,0.467,0.739
poly,2,10,0.001,2,0.1,9.201,2.355,0.481,0.748
poly,2,10,0.001,2,0.5,9.354,2.419,0.493,0.746
poly,2,10,0.001,2,0.8,9.383,2.456,0.488,0.745
poly,2,10,0.001,3,0.01,9.499,2.412,0.462,0.738
poly,2,10,0.001,3,0.1,9.296,2.367,0.474,0.746
poly,2,10,0.001,3,0.5,9.389,2.415,0.489,0.745
poly,2,10,0.001,3,0.8,9.271,2.432,0.488,0.748
