Activation,Learning_strategy,Layers,Learning_rate,MSE,MAE,R^2-Score,PCC
relu,constant,"(50,)",0.01,20.177,3.466,-0.15,0.603
relu,constant,"(50,)",0.001,12.793,2.873,0.271,0.678
relu,constant,"(50,)",0.0001,9.747,2.517,0.452,0.739
relu,constant,"(50,)",1e-05,16.105,3.017,0.16,0.542
relu,constant,"(100,)",0.01,20.07,3.482,-0.153,0.556
relu,constant,"(100,)",0.001,14.978,3.125,0.126,0.617
relu,constant,"(100,)",0.0001,9.972,2.476,0.431,0.721
relu,constant,"(100,)",1e-05,13.07,2.894,0.305,0.632
relu,constant,"(150,)",0.01,18.768,3.368,-0.073,0.589
relu,constant,"(150,)",0.001,15.242,3.089,0.117,0.641
relu,constant,"(150,)",0.0001,9.639,2.461,0.462,0.728
relu,constant,"(150,)",1e-05,11.503,2.605,0.412,0.704
relu,constant,"(200,)",0.01,16.481,3.153,0.03,0.619
relu,constant,"(200,)",0.001,14.596,3.026,0.14,0.63
relu,constant,"(200,)",0.0001,9.509,2.437,0.466,0.728
relu,constant,"(200,)",1e-05,11.402,2.643,0.412,0.693
relu,constant,"(250,)",0.01,19.565,3.398,-0.131,0.568
relu,constant,"(250,)",0.001,15.529,3.121,0.107,0.621
relu,constant,"(250,)",0.0001,9.898,2.486,0.44,0.722
relu,constant,"(250,)",1e-05,10.903,2.627,0.422,0.718
relu,constant,"(300,)",0.01,17.017,3.258,0.019,0.612
relu,constant,"(300,)",0.001,15.713,3.155,0.091,0.617
relu,constant,"(300,)",0.0001,10.085,2.504,0.435,0.716
relu,constant,"(300,)",1e-05,11.276,2.609,0.414,0.695
logistic,constant,"(50,)",0.01,18.389,3.328,-0.099,0.527
logistic,constant,"(50,)",0.001,9.239,2.375,0.49,0.75
logistic,constant,"(50,)",0.0001,9.937,2.462,0.486,0.741
logistic,constant,"(50,)",1e-05,18.344,3.342,0.07,0.495
logistic,constant,"(100,)",0.01,15.064,3.084,0.169,0.595
logistic,constant,"(100,)",0.001,9.175,2.365,0.496,0.752
logistic,constant,"(100,)",0.0001,9.956,2.463,0.485,0.743
logistic,constant,"(100,)",1e-05,18.905,3.491,0.027,0.631
logistic,constant,"(150,)",0.01,9.596,2.401,0.466,0.739
logistic,constant,"(150,)",0.001,9.162,2.368,0.494,0.751
logistic,constant,"(150,)",0.0001,9.815,2.452,0.489,0.743
logistic,constant,"(150,)",1e-05,18.211,3.291,0.083,0.655
logistic,constant,"(200,)",0.01,9.604,2.405,0.465,0.738
logistic,constant,"(200,)",0.001,9.171,2.376,0.487,0.751
logistic,constant,"(200,)",0.0001,9.392,2.403,0.5,0.75
logistic,constant,"(200,)",1e-05,18.195,3.328,0.09,0.613
logistic,constant,"(250,)",0.01,9.577,2.404,0.465,0.741
logistic,constant,"(250,)",0.001,9.153,2.375,0.492,0.752
logistic,constant,"(250,)",0.0001,9.595,2.429,0.495,0.747
logistic,constant,"(250,)",1e-05,18.195,3.368,0.075,0.611
logistic,constant,"(300,)",0.01,9.906,2.476,0.445,0.738
logistic,constant,"(300,)",0.001,9.145,2.372,0.49,0.751
logistic,constant,"(300,)",0.0001,9.492,2.417,0.496,0.747
logistic,constant,"(300,)",1e-05,18.244,3.326,0.081,0.623
relu,constant,"(50,10)",0.01,15.902,3.045,0.071,0.629
relu,constant,"(50,10)",0.001,13.546,2.879,0.225,0.63
relu,constant,"(50,10)",0.0001,10.246,2.548,0.43,0.709
relu,constant,"(50,10)",1e-05,15.293,2.96,0.227,0.604
relu,constant,"(100,20)",0.01,19.723,3.339,-0.16,0.554
relu,constant,"(100,20)",0.001,15.818,3.175,0.061,0.585
relu,constant,"(100,20)",0.0001,10.547,2.599,0.392,0.689
relu,constant,"(100,20)",1e-05,12.192,2.69,0.381,0.655
relu,constant,"(150,30)",0.01,16.103,3.208,0.099,0.6
relu,constant,"(150,30)",0.001,14.945,3.105,0.139,0.625
relu,constant,"(150,30)",0.0001,11.33,2.677,0.346,0.677
relu,constant,"(150,30)",1e-05,10.666,2.555,0.444,0.708
relu,constant,"(200,40)",0.01,15.738,3.165,0.079,0.614
relu,constant,"(200,40)",0.001,14.684,2.981,0.137,0.623
relu,constant,"(200,40)",0.0001,11.004,2.656,0.362,0.684
relu,constant,"(200,40)",1e-05,10.405,2.573,0.44,0.711
logistic,constant,"(50,10)",0.01,18.654,3.369,-0.085,0.543
logistic,constant,"(50,10)",0.001,9.419,2.374,0.489,0.746
logistic,constant,"(50,10)",0.0001,18.615,3.335,0.063,0.642
logistic,constant,"(50,10)",1e-05,26.797,3.752,-0.382,0.274
logistic,constant,"(100,20)",0.01,16.709,3.31,0.024,0.61
logistic,constant,"(100,20)",0.001,9.173,2.369,0.492,0.752
logistic,constant,"(100,20)",0.0001,9.542,2.405,0.501,0.746
logistic,constant,"(100,20)",1e-05,20.226,3.586,-0.035,-0.074
logistic,constant,"(150,30)",0.01,17.53,3.345,0.016,0.583
logistic,constant,"(150,30)",0.001,9.302,2.378,0.484,0.75
logistic,constant,"(150,30)",0.0001,9.342,2.385,0.505,0.75
logistic,constant,"(150,30)",1e-05,20.298,3.609,-0.041,0.421
logistic,constant,"(200,40)",0.01,15.851,3.199,0.109,0.594
logistic,constant,"(200,40)",0.001,9.321,2.379,0.481,0.749
logistic,constant,"(200,40)",0.0001,9.2,2.374,0.508,0.754
logistic,constant,"(200,40)",1e-05,20.332,3.598,-0.041,-0.126
