kernel,degree,C,gamma,coef0,epsilon,MSE,MAE,R^2-Score,PCC
poly,2,1,0.1,1,0.01,9.15,2.359,0.524,0.736
poly,2,1,0.1,1,0.1,8.989,2.361,0.532,0.744
poly,2,1,0.1,1,0.5,9.227,2.361,0.514,0.727
poly,2,1,0.1,1,0.8,9.336,2.394,0.518,0.738
poly,2,1,0.1,2,0.01,9.233,2.361,0.519,0.732
poly,2,1,0.1,2,0.1,9.022,2.357,0.531,0.743
poly,2,1,0.1,2,0.5,9.335,2.367,0.508,0.723
poly,2,1,0.1,2,0.8,9.434,2.402,0.514,0.736
poly,2,1,0.1,3,0.01,9.254,2.361,0.518,0.732
poly,2,1,0.1,3,0.1,9.03,2.355,0.531,0.743
poly,2,1,0.1,3,0.5,9.364,2.368,0.506,0.722
poly,2,1,0.1,3,0.8,9.438,2.4,0.513,0.736
poly,2,1,0.1,4,0.01,9.269,2.361,0.517,0.731
poly,2,1,0.1,4,0.1,9.037,2.354,0.53,0.742
poly,2,1,0.1,4,0.5,9.378,2.369,0.505,0.722
poly,2,1,0.1,4,0.8,9.442,2.399,0.513,0.735
poly,2,1,0.01,1,0.01,8.894,2.374,0.544,0.75
poly,2,1,0.01,1,0.1,8.919,2.379,0.544,0.75
poly,2,1,0.01,1,0.5,9.032,2.38,0.543,0.758
poly,2,1,0.01,1,0.8,9.29,2.43,0.53,0.747
poly,2,1,0.01,2,0.01,9.075,2.399,0.531,0.742
poly,2,1,0.01,2,0.1,8.984,2.385,0.538,0.745
poly,2,1,0.01,2,0.5,8.982,2.372,0.544,0.754
poly,2,1,0.01,2,0.8,9.031,2.367,0.542,0.748
poly,2,1,0.01,3,0.01,9.253,2.416,0.521,0.737
poly,2,1,0.01,3,0.1,9.096,2.398,0.531,0.741
poly,2,1,0.01,3,0.5,8.967,2.366,0.545,0.752
poly,2,1,0.01,3,0.8,8.873,2.336,0.548,0.75
poly,2,1,0.01,4,0.01,9.382,2.428,0.514,0.733
poly,2,1,0.01,4,0.1,9.11,2.398,0.53,0.74
poly,2,1,0.01,4,0.5,8.966,2.366,0.545,0.751
poly,2,1,0.01,4,0.8,8.877,2.332,0.546,0.748
poly,2,1,0.001,1,0.01,12.345,2.729,0.386,0.746
poly,2,1,0.001,1,0.1,12.365,2.731,0.384,0.744
poly,2,1,0.001,1,0.5,12.995,2.788,0.352,0.751
poly,2,1,0.001,1,0.8,13.724,2.9,0.316,0.741
poly,2,1,0.001,2,0.01,10.789,2.573,0.46,0.747
poly,2,1,0.001,2,0.1,10.528,2.547,0.473,0.748
poly,2,1,0.001,2,0.5,10.87,2.568,0.458,0.753
poly,2,1,0.001,2,0.8,11.941,2.73,0.404,0.739
poly,2,1,0.001,3,0.01,9.95,2.498,0.5,0.748
poly,2,1,0.001,3,0.1,9.906,2.492,0.502,0.749
poly,2,1,0.001,3,0.5,10.209,2.499,0.49,0.754
poly,2,1,0.001,3,0.8,11.16,2.644,0.443,0.741
poly,2,1,0.001,4,0.01,9.487,2.451,0.521,0.748
poly,2,1,0.001,4,0.1,9.547,2.45,0.519,0.748
poly,2,1,0.001,4,0.5,9.712,2.45,0.514,0.755
poly,2,1,0.001,4,0.8,10.681,2.58,0.467,0.742
poly,2,5,0.1,1,0.01,11.225,2.577,0.413,0.68
poly,2,5,0.1,1,0.1,10.697,2.536,0.438,0.696
poly,2,5,0.1,1,0.5,9.974,2.425,0.478,0.723
poly,2,5,0.1,1,0.8,12.39,2.59,0.35,0.663
poly,2,5,0.1,2,0.01,11.219,2.577,0.414,0.68
poly,2,5,0.1,2,0.1,10.614,2.531,0.443,0.697
poly,2,5,0.1,2,0.5,9.937,2.424,0.481,0.724
poly,2,5,0.1,2,0.8,12.372,2.583,0.351,0.663
poly,2,5,0.1,3,0.01,11.227,2.577,0.413,0.68
poly,2,5,0.1,3,0.1,10.587,2.529,0.444,0.698
poly,2,5,0.1,3,0.5,9.923,2.424,0.481,0.725
poly,2,5,0.1,3,0.8,12.377,2.581,0.351,0.663
poly,2,5,0.1,4,0.01,11.22,2.576,0.414,0.68
poly,2,5,0.1,4,0.1,10.577,2.528,0.445,0.698
poly,2,5,0.1,4,0.5,9.915,2.424,0.482,0.725
poly,2,5,0.1,4,0.8,12.387,2.58,0.35,0.662
poly,2,5,0.01,1,0.01,8.794,2.346,0.544,0.75
poly,2,5,0.01,1,0.1,8.582,2.333,0.556,0.757
poly,2,5,0.01,1,0.5,8.789,2.355,0.553,0.76
poly,2,5,0.01,1,0.8,8.767,2.334,0.551,0.75
poly,2,5,0.01,2,0.01,8.905,2.363,0.538,0.747
poly,2,5,0.01,2,0.1,8.657,2.338,0.552,0.755
poly,2,5,0.01,2,0.5,8.779,2.35,0.553,0.759
poly,2,5,0.01,2,0.8,8.846,2.334,0.547,0.747
poly,2,5,0.01,3,0.01,8.955,2.369,0.536,0.746
poly,2,5,0.01,3,0.1,8.715,2.343,0.549,0.753
poly,2,5,0.01,3,0.5,8.772,2.348,0.553,0.758
poly,2,5,0.01,3,0.8,8.877,2.34,0.546,0.746
poly,2,5,0.01,4,0.01,8.967,2.37,0.535,0.745
poly,2,5,0.01,4,0.1,8.745,2.345,0.547,0.752
poly,2,5,0.01,4,0.5,8.778,2.348,0.552,0.758
poly,2,5,0.01,4,0.8,8.887,2.34,0.545,0.745
poly,2,5,0.001,1,0.01,9.248,2.413,0.531,0.749
poly,2,5,0.001,1,0.1,9.34,2.425,0.527,0.749
poly,2,5,0.001,1,0.5,9.456,2.422,0.525,0.755
poly,2,5,0.001,1,0.8,10.313,2.541,0.484,0.743
poly,2,5,0.001,2,0.01,9.048,2.382,0.536,0.745
poly,2,5,0.001,2,0.1,9.089,2.394,0.536,0.746
poly,2,5,0.001,2,0.5,9.143,2.39,0.538,0.753
poly,2,5,0.001,2,0.8,9.415,2.437,0.524,0.742
poly,2,5,0.001,3,0.01,9.137,2.401,0.53,0.74
poly,2,5,0.001,3,0.1,9.148,2.409,0.531,0.742
poly,2,5,0.001,3,0.5,9.144,2.385,0.537,0.75
poly,2,5,0.001,3,0.8,9.183,2.398,0.535,0.745
poly,2,5,0.001,4,0.01,9.288,2.418,0.521,0.735
poly,2,5,0.001,4,0.1,9.186,2.412,0.528,0.74
poly,2,5,0.001,4,0.5,9.082,2.375,0.54,0.749
poly,2,5,0.001,4,0.8,9.052,2.365,0.54,0.746
