kernel,C,gamma,epsilon,MSE,MAE,R^2-Score,PCC
RBF,5,0.1,0.001,11.747,2.681,0.403,0.652
RBF,5,0.1,0.01,11.725,2.68,0.404,0.653
RBF,5,0.1,0.1,11.713,2.672,0.406,0.656
RBF,5,0.1,0.5,10.767,2.559,0.45,0.683
RBF,5,0.1,0.8,10.92,2.646,0.443,0.677
RBF,5,0.01,0.001,8.275,2.293,0.573,0.764
RBF,5,0.01,0.01,8.281,2.29,0.573,0.764
RBF,5,0.01,0.1,8.381,2.296,0.567,0.76
RBF,5,0.01,0.5,8.534,2.321,0.565,0.764
RBF,5,0.01,0.8,8.613,2.343,0.56,0.756
RBF,5,0.001,0.001,9.249,2.41,0.532,0.749
RBF,5,0.001,0.01,9.26,2.411,0.531,0.749
RBF,5,0.001,0.1,9.353,2.427,0.527,0.749
RBF,5,0.001,0.5,9.451,2.419,0.525,0.756
RBF,5,0.001,0.8,10.36,2.546,0.481,0.744
RBF,5,0.0001,0.001,15.001,3.003,0.251,0.741
RBF,5,0.0001,0.01,15.009,3.005,0.251,0.741
RBF,5,0.0001,0.1,14.973,3.007,0.252,0.741
RBF,5,0.0001,0.5,15.258,3.017,0.237,0.745
RBF,5,0.0001,0.8,16.046,3.123,0.198,0.737
RBF,10,0.1,0.001,12.849,2.791,0.351,0.63
RBF,10,0.1,0.01,12.835,2.789,0.352,0.631
RBF,10,0.1,0.1,12.681,2.777,0.357,0.635
RBF,10,0.1,0.5,11.088,2.597,0.434,0.674
RBF,10,0.1,0.8,10.922,2.641,0.444,0.678
RBF,10,0.01,0.001,8.24,2.272,0.573,0.763
RBF,10,0.01,0.01,8.255,2.274,0.573,0.763
RBF,10,0.01,0.1,8.373,2.277,0.567,0.759
RBF,10,0.01,0.5,8.497,2.321,0.565,0.759
RBF,10,0.01,0.8,8.512,2.336,0.563,0.756
RBF,10,0.001,0.001,8.996,2.37,0.539,0.747
RBF,10,0.001,0.01,8.989,2.372,0.539,0.747
RBF,10,0.001,0.1,9.003,2.38,0.54,0.748
RBF,10,0.001,0.5,9.094,2.385,0.541,0.756
RBF,10,0.001,0.8,9.401,2.438,0.525,0.744
RBF,10,0.0001,0.001,12.362,2.733,0.385,0.746
RBF,10,0.0001,0.01,12.364,2.73,0.385,0.746
RBF,10,0.0001,0.1,12.38,2.733,0.383,0.744
RBF,10,0.0001,0.5,12.991,2.787,0.352,0.751
RBF,10,0.0001,0.8,13.74,2.902,0.315,0.741
RBF,15,0.1,0.001,13.473,2.858,0.317,0.619
RBF,15,0.1,0.01,13.465,2.859,0.317,0.619
RBF,15,0.1,0.1,13.067,2.808,0.336,0.63
RBF,15,0.1,0.5,11.46,2.643,0.416,0.664
RBF,15,0.1,0.8,10.921,2.644,0.444,0.677
RBF,15,0.01,0.001,8.469,2.291,0.561,0.755
RBF,15,0.01,0.01,8.476,2.292,0.56,0.755
RBF,15,0.01,0.1,8.52,2.304,0.559,0.753
RBF,15,0.01,0.5,8.423,2.304,0.567,0.76
RBF,15,0.01,0.8,8.537,2.34,0.56,0.755
RBF,15,0.001,0.001,9.036,2.391,0.535,0.743
RBF,15,0.001,0.01,9.03,2.391,0.535,0.743
RBF,15,0.001,0.1,9.031,2.39,0.537,0.745
RBF,15,0.001,0.5,9.069,2.379,0.541,0.754
RBF,15,0.001,0.8,9.058,2.387,0.542,0.749
RBF,15,0.0001,0.001,11.329,2.62,0.434,0.746
RBF,15,0.0001,0.01,11.301,2.619,0.436,0.746
RBF,15,0.0001,0.1,11.16,2.614,0.444,0.748
RBF,15,0.0001,0.5,11.805,2.666,0.413,0.752
RBF,15,0.0001,0.8,12.745,2.808,0.365,0.739
RBF,20,0.1,0.001,14.107,2.913,0.283,0.607
RBF,20,0.1,0.01,14.101,2.911,0.283,0.607
RBF,20,0.1,0.1,13.59,2.86,0.308,0.618
RBF,20,0.1,0.5,11.82,2.686,0.399,0.654
RBF,20,0.1,0.8,10.921,2.644,0.444,0.677
RBF,20,0.01,0.001,8.692,2.311,0.548,0.747
RBF,20,0.01,0.01,8.68,2.317,0.549,0.746
RBF,20,0.01,0.1,8.644,2.323,0.552,0.748
RBF,20,0.01,0.5,8.371,2.29,0.567,0.758
RBF,20,0.01,0.8,8.579,2.34,0.558,0.755
RBF,20,0.001,0.001,9.075,2.398,0.531,0.742
RBF,20,0.001,0.01,9.111,2.401,0.53,0.74
RBF,20,0.001,0.1,9.015,2.392,0.537,0.746
RBF,20,0.001,0.5,8.993,2.372,0.544,0.753
RBF,20,0.001,0.8,9.026,2.373,0.542,0.749
RBF,20,0.0001,0.001,10.805,2.572,0.459,0.747
RBF,20,0.0001,0.01,10.802,2.574,0.46,0.747
RBF,20,0.0001,0.1,10.53,2.547,0.473,0.748
RBF,20,0.0001,0.5,10.878,2.568,0.458,0.753
RBF,20,0.0001,0.8,11.948,2.731,0.404,0.739
