FPR	SVR AUC = 0.9129 (+/- 0.058)	MLPR AUC = 0.898 (+/- 0.0482)
0	0	0
0.0101010101010101	0.423809523809524	0.247619047619048
0.0202020202020202	0.423809523809524	0.247619047619048
0.0303030303030303	0.485714285714286	0.514285714285714
0.0404040404040404	0.485714285714286	0.514285714285714
0.0505050505050505	0.552380952380952	0.580952380952381
0.0606060606060606	0.580952380952381	0.580952380952381
0.0707070707070707	0.580952380952381	0.580952380952381
0.0808080808080808	0.620952380952381	0.649523809523809
0.0909090909090909	0.620952380952381	0.649523809523809
0.101010101010101	0.660952380952381	0.691139971139971
0.111111111111111	0.729206349206349	0.707301587301587
0.121212121212121	0.74017316017316	0.723463203463203
0.131313131313131	0.763934583934584	0.729523809523809
0.141414141414141	0.778027898027898	0.729523809523809
0.151515151515152	0.794256854256854	0.729523809523809
0.161616161616162	0.824223184223184	0.729523809523809
0.171717171717172	0.852842712842713	0.729523809523809
0.181818181818182	0.858095238095238	0.7404329004329
0.191919191919192	0.858095238095238	0.756594516594516
0.202020202020202	0.858095238095238	0.769523809523809
0.212121212121212	0.858095238095238	0.802857142857143
0.222222222222222	0.858095238095238	0.802857142857143
0.232323232323232	0.863953823953824	0.802857142857143
0.242424242424242	0.872034632034632	0.802857142857143
0.252525252525252	0.88011544011544	0.869523809523809
0.262626262626263	0.888196248196248	0.869523809523809
0.272727272727273	0.906666666666667	0.926666666666666
0.282828282828283	0.919451659451659	0.926666666666666
0.292929292929293	0.926666666666666	0.926666666666666
0.303030303030303	0.931515151515151	0.926666666666666
0.313131313131313	0.947676767676768	0.926666666666666
0.323232323232323	0.963838383838384	0.926666666666666
0.333333333333333	0.966666666666666	0.926666666666666
0.343434343434343	0.966666666666666	0.926666666666666
0.353535353535354	0.966666666666666	0.92949494949495
0.363636363636364	0.966666666666666	0.937575757575758
0.373737373737374	0.966666666666666	0.945656565656566
0.383838383838384	0.966666666666666	0.953737373737374
0.393939393939394	0.966666666666666	0.961818181818182
0.404040404040404	0.966666666666666	0.966666666666666
0.414141414141414	0.966666666666666	0.966666666666666
0.424242424242424	0.966666666666666	0.966666666666666
0.434343434343434	0.966666666666666	0.966666666666666
0.444444444444444	0.966666666666666	0.966666666666666
0.454545454545455	0.975757575757576	0.96969696969697
0.464646464646465	0.988552188552189	0.973961840628507
0.474747474747475	1	0.978226711560045
0.484848484848485	1	0.982491582491583
0.494949494949495	1	0.98675645342312
0.505050505050505	1	0.991021324354658
0.515151515151515	1	0.995286195286195
0.525252525252525	1	0.999551066217733
0.535353535353535	1	1
0.545454545454546	1	1
0.555555555555556	1	1
0.565656565656566	1	1
0.575757575757576	1	1
0.585858585858586	1	1
0.595959595959596	1	1
0.606060606060606	1	1
0.616161616161616	1	1
0.626262626262626	1	1
0.636363636363636	1	1
0.646464646464646	1	1
0.656565656565657	1	1
0.666666666666667	1	1
0.676767676767677	1	1
0.686868686868687	1	1
0.696969696969697	1	1
0.707070707070707	1	1
0.717171717171717	1	1
0.727272727272727	1	1
0.737373737373737	1	1
0.747474747474748	1	1
0.757575757575758	1	1
0.767676767676768	1	1
0.777777777777778	1	1
0.787878787878788	1	1
0.797979797979798	1	1
0.808080808080808	1	1
0.818181818181818	1	1
0.828282828282828	1	1
0.838383838383838	1	1
0.848484848484848	1	1
0.858585858585859	1	1
0.868686868686869	1	1
0.878787878787879	1	1
0.888888888888889	1	1
0.898989898989899	1	1
0.909090909090909	1	1
0.919191919191919	1	1
0.929292929292929	1	1
0.939393939393939	1	1
0.94949494949495	1	1
0.95959595959596	1	1
0.96969696969697	1	1
0.97979797979798	1	1
0.98989898989899	1	1
1	1	1
