kernel,degree,C,gamma,coef0,epsilon,MSE,MAE,R^2-Score,PCC
poly,2,1,0.1,1,0.01,9.216,2.345,0.534,0.742
poly,2,1,0.1,1,0.1,8.984,2.35,0.546,0.747
poly,2,1,0.1,1,0.5,8.516,2.328,0.571,0.755
poly,2,1,0.1,1,0.8,9.267,2.401,0.534,0.735
poly,2,1,0.1,2,0.01,9.19,2.341,0.535,0.743
poly,2,1,0.1,2,0.1,9.018,2.359,0.545,0.747
poly,2,1,0.1,2,0.5,8.638,2.34,0.565,0.752
poly,2,1,0.1,2,0.8,9.371,2.404,0.528,0.732
poly,2,1,0.1,3,0.01,9.192,2.341,0.535,0.743
poly,2,1,0.1,3,0.1,9.026,2.361,0.544,0.748
poly,2,1,0.1,3,0.5,8.643,2.341,0.565,0.751
poly,2,1,0.1,3,0.8,9.501,2.411,0.521,0.729
poly,2,1,0.1,4,0.01,9.196,2.341,0.535,0.743
poly,2,1,0.1,4,0.1,9.028,2.361,0.544,0.748
poly,2,1,0.1,4,0.5,8.651,2.342,0.564,0.751
poly,2,1,0.1,4,0.8,9.5,2.41,0.521,0.729
poly,2,1,0.01,1,0.01,9.594,2.441,0.516,0.724
poly,2,1,0.01,1,0.1,9.383,2.425,0.527,0.731
poly,2,1,0.01,1,0.5,9.549,2.468,0.521,0.735
poly,2,1,0.01,1,0.8,9.38,2.462,0.53,0.741
poly,2,1,0.01,2,0.01,9.624,2.443,0.514,0.721
poly,2,1,0.01,2,0.1,9.644,2.44,0.513,0.72
poly,2,1,0.01,2,0.5,9.58,2.47,0.519,0.727
poly,2,1,0.01,2,0.8,8.97,2.39,0.55,0.746
poly,2,1,0.01,3,0.01,9.745,2.462,0.508,0.717
poly,2,1,0.01,3,0.1,9.758,2.449,0.507,0.717
poly,2,1,0.01,3,0.5,9.544,2.465,0.521,0.725
poly,2,1,0.01,3,0.8,8.796,2.365,0.558,0.75
poly,2,1,0.01,4,0.01,9.773,2.464,0.507,0.716
poly,2,1,0.01,4,0.1,9.883,2.459,0.5,0.713
poly,2,1,0.01,4,0.5,9.54,2.464,0.521,0.724
poly,2,1,0.01,4,0.8,8.807,2.371,0.558,0.749
poly,2,1,0.001,1,0.01,12.766,2.772,0.363,0.742
poly,2,1,0.001,1,0.1,13.047,2.799,0.349,0.744
poly,2,1,0.001,1,0.5,13.337,2.841,0.334,0.748
poly,2,1,0.001,1,0.8,14.452,2.972,0.279,0.742
poly,2,1,0.001,2,0.01,11.09,2.575,0.445,0.738
poly,2,1,0.001,2,0.1,10.907,2.572,0.454,0.741
poly,2,1,0.001,2,0.5,11.527,2.641,0.424,0.745
poly,2,1,0.001,2,0.8,12.405,2.788,0.38,0.74
poly,2,1,0.001,3,0.01,10.357,2.516,0.481,0.733
poly,2,1,0.001,3,0.1,10.202,2.505,0.489,0.735
poly,2,1,0.001,3,0.5,10.565,2.546,0.472,0.744
poly,2,1,0.001,3,0.8,11.388,2.69,0.431,0.738
poly,2,1,0.001,4,0.01,10.069,2.487,0.495,0.731
poly,2,1,0.001,4,0.1,9.992,2.485,0.499,0.731
poly,2,1,0.001,4,0.5,10.183,2.509,0.49,0.74
poly,2,1,0.001,4,0.8,11.051,2.649,0.448,0.736
poly,2,5,0.1,1,0.01,14.966,2.589,0.221,0.675
poly,2,5,0.1,1,0.1,13.53,2.553,0.3,0.687
poly,2,5,0.1,1,0.5,10.517,2.521,0.466,0.707
poly,2,5,0.1,1,0.8,12.257,2.69,0.387,0.658
poly,2,5,0.1,2,0.01,15.016,2.592,0.218,0.674
poly,2,5,0.1,2,0.1,13.581,2.556,0.297,0.686
poly,2,5,0.1,2,0.5,10.519,2.523,0.466,0.707
poly,2,5,0.1,2,0.8,12.317,2.701,0.384,0.658
poly,2,5,0.1,3,0.01,15.028,2.592,0.218,0.674
poly,2,5,0.1,3,0.1,13.546,2.555,0.299,0.686
poly,2,5,0.1,3,0.5,10.515,2.524,0.467,0.707
poly,2,5,0.1,3,0.8,12.33,2.704,0.383,0.658
poly,2,5,0.1,4,0.01,14.964,2.591,0.221,0.675
poly,2,5,0.1,4,0.1,13.549,2.555,0.299,0.686
poly,2,5,0.1,4,0.5,10.514,2.524,0.467,0.707
poly,2,5,0.1,4,0.8,12.34,2.706,0.382,0.658
poly,2,5,0.01,1,0.01,9.313,2.396,0.528,0.73
poly,2,5,0.01,1,0.1,9.389,2.403,0.524,0.729
poly,2,5,0.01,1,0.5,9.042,2.414,0.546,0.742
poly,2,5,0.01,1,0.8,8.677,2.362,0.564,0.752
poly,2,5,0.01,2,0.01,9.408,2.405,0.523,0.728
poly,2,5,0.01,2,0.1,9.411,2.407,0.523,0.728
poly,2,5,0.01,2,0.5,9.091,2.417,0.543,0.74
poly,2,5,0.01,2,0.8,8.721,2.369,0.561,0.75
poly,2,5,0.01,3,0.01,9.436,2.409,0.522,0.727
poly,2,5,0.01,3,0.1,9.419,2.408,0.522,0.728
poly,2,5,0.01,3,0.5,9.106,2.418,0.542,0.739
poly,2,5,0.01,3,0.8,8.763,2.374,0.559,0.749
poly,2,5,0.01,4,0.01,9.462,2.413,0.521,0.726
poly,2,5,0.01,4,0.1,9.42,2.409,0.522,0.728
poly,2,5,0.01,4,0.5,9.112,2.418,0.542,0.739
poly,2,5,0.01,4,0.8,8.794,2.376,0.558,0.748
poly,2,5,0.001,1,0.01,9.904,2.475,0.502,0.727
poly,2,5,0.001,1,0.1,9.903,2.477,0.503,0.726
poly,2,5,0.001,1,0.5,9.87,2.492,0.506,0.737
poly,2,5,0.001,1,0.8,10.605,2.598,0.47,0.735
poly,2,5,0.001,2,0.01,9.759,2.465,0.508,0.718
poly,2,5,0.001,2,0.1,9.598,2.447,0.517,0.723
poly,2,5,0.001,2,0.5,9.629,2.471,0.517,0.732
poly,2,5,0.001,2,0.8,9.61,2.482,0.518,0.735
poly,2,5,0.001,3,0.01,9.848,2.469,0.503,0.715
poly,2,5,0.001,3,0.1,9.67,2.45,0.512,0.72
poly,2,5,0.001,3,0.5,9.662,2.476,0.515,0.726
poly,2,5,0.001,3,0.8,9.122,2.409,0.543,0.744
poly,2,5,0.001,4,0.01,9.881,2.47,0.501,0.714
poly,2,5,0.001,4,0.1,9.709,2.452,0.51,0.718
poly,2,5,0.001,4,0.5,9.742,2.484,0.511,0.722
poly,2,5,0.001,4,0.8,9.025,2.394,0.547,0.744
poly,2,10,0.1,1,0.01,15.966,2.623,0.166,0.669
poly,2,10,0.1,1,0.1,14.715,2.618,0.238,0.676
poly,2,10,0.1,1,0.5,11.957,2.638,0.39,0.682
poly,2,10,0.1,1,0.8,13.963,2.874,0.3,0.623
poly,2,10,0.1,2,0.01,15.984,2.625,0.166,0.669
poly,2,10,0.1,2,0.1,14.734,2.62,0.237,0.676
poly,2,10,0.1,2,0.5,11.948,2.638,0.391,0.682
poly,2,10,0.1,2,0.8,13.92,2.877,0.302,0.624
poly,2,10,0.1,3,0.01,16.003,2.626,0.165,0.669
poly,2,10,0.1,3,0.1,14.756,2.621,0.236,0.676
poly,2,10,0.1,3,0.5,11.973,2.64,0.389,0.682
poly,2,10,0.1,3,0.8,13.923,2.878,0.302,0.624
poly,2,10,0.1,4,0.01,15.989,2.626,0.165,0.669
poly,2,10,0.1,4,0.1,14.795,2.622,0.234,0.675
poly,2,10,0.1,4,0.5,11.977,2.641,0.389,0.682
poly,2,10,0.1,4,0.8,13.897,2.877,0.304,0.625
poly,2,10,0.01,1,0.01,9.082,2.375,0.539,0.737
poly,2,10,0.01,1,0.1,9.165,2.385,0.535,0.736
poly,2,10,0.01,1,0.5,8.781,2.39,0.558,0.749
poly,2,10,0.01,1,0.8,8.624,2.361,0.566,0.754
poly,2,10,0.01,2,0.01,9.148,2.383,0.536,0.735
poly,2,10,0.01,2,0.1,9.176,2.387,0.534,0.736
poly,2,10,0.01,2,0.5,8.839,2.395,0.555,0.746
poly,2,10,0.01,2,0.8,8.798,2.376,0.558,0.749
poly,2,10,0.01,3,0.01,9.166,2.386,0.535,0.735
poly,2,10,0.01,3,0.1,9.181,2.388,0.534,0.736
poly,2,10,0.01,3,0.5,8.853,2.395,0.555,0.746
poly,2,10,0.01,3,0.8,8.823,2.378,0.556,0.748
poly,2,10,0.01,4,0.01,9.176,2.387,0.534,0.734
poly,2,10,0.01,4,0.1,9.187,2.389,0.533,0.735
poly,2,10,0.01,4,0.5,8.861,2.396,0.554,0.745
poly,2,10,0.01,4,0.8,8.835,2.379,0.556,0.748
