Activation,Learning_strategy,Layers,Learning_rate,MSE,MAE,R^2-Score,PCC
relu,constant,"(50,)",0.01,16.272,3.093,0.043,0.646
relu,constant,"(50,)",0.001,10.205,2.514,0.401,0.72
relu,constant,"(50,)",0.0001,9.709,2.452,0.453,0.732
relu,constant,"(50,)",1e-05,14.342,3.01,0.243,0.569
relu,constant,"(100,)",0.01,13.949,2.8,0.186,0.659
relu,constant,"(100,)",0.001,11.418,2.616,0.334,0.673
relu,constant,"(100,)",0.0001,9.258,2.376,0.482,0.739
relu,constant,"(100,)",1e-05,12.184,2.626,0.362,0.667
relu,constant,"(150,)",0.01,12.259,2.772,0.317,0.701
relu,constant,"(150,)",0.001,11.599,2.633,0.328,0.689
relu,constant,"(150,)",0.0001,9.057,2.382,0.492,0.753
relu,constant,"(150,)",1e-05,11.809,2.638,0.405,0.701
relu,constant,"(200,)",0.01,13.885,2.851,0.214,0.684
relu,constant,"(200,)",0.001,10.746,2.601,0.379,0.702
relu,constant,"(200,)",0.0001,8.706,2.343,0.512,0.767
relu,constant,"(200,)",1e-05,10.858,2.638,0.447,0.731
relu,constant,"(250,)",0.01,13.675,2.86,0.217,0.663
relu,constant,"(250,)",0.001,10.085,2.528,0.409,0.717
relu,constant,"(250,)",0.0001,8.857,2.383,0.496,0.752
relu,constant,"(250,)",1e-05,10.999,2.618,0.437,0.715
relu,constant,"(300,)",0.01,11.606,2.646,0.347,0.703
relu,constant,"(300,)",0.001,9.787,2.504,0.419,0.732
relu,constant,"(300,)",0.0001,8.807,2.375,0.502,0.754
relu,constant,"(300,)",1e-05,11.007,2.574,0.438,0.72
logistic,constant,"(50,)",0.01,14.401,2.916,0.16,0.631
logistic,constant,"(50,)",0.001,9.134,2.366,0.501,0.753
logistic,constant,"(50,)",0.0001,9.955,2.463,0.49,0.748
logistic,constant,"(50,)",1e-05,21.193,3.741,-0.101,-0.013
logistic,constant,"(100,)",0.01,9.459,2.39,0.472,0.742
logistic,constant,"(100,)",0.001,9.115,2.372,0.499,0.751
logistic,constant,"(100,)",0.0001,9.837,2.464,0.492,0.745
logistic,constant,"(100,)",1e-05,19.651,3.391,0.003,0.48
logistic,constant,"(150,)",0.01,9.307,2.374,0.483,0.746
logistic,constant,"(150,)",0.001,9.111,2.366,0.493,0.751
logistic,constant,"(150,)",0.0001,9.385,2.407,0.504,0.751
logistic,constant,"(150,)",1e-05,20.195,3.518,-0.019,0.024
logistic,constant,"(200,)",0.01,9.347,2.371,0.48,0.744
logistic,constant,"(200,)",0.001,9.051,2.359,0.5,0.753
logistic,constant,"(200,)",0.0001,9.607,2.438,0.5,0.749
logistic,constant,"(200,)",1e-05,18.164,3.388,0.078,0.611
logistic,constant,"(250,)",0.01,9.546,2.394,0.471,0.742
logistic,constant,"(250,)",0.001,9.084,2.364,0.496,0.752
logistic,constant,"(250,)",0.0001,9.421,2.412,0.502,0.749
logistic,constant,"(250,)",1e-05,18.947,3.379,0.043,0.636
logistic,constant,"(300,)",0.01,9.628,2.44,0.458,0.742
logistic,constant,"(300,)",0.001,9.037,2.359,0.497,0.752
logistic,constant,"(300,)",0.0001,9.241,2.395,0.508,0.754
logistic,constant,"(300,)",1e-05,17.761,3.281,0.117,0.669
relu,constant,"(50,10)",0.01,17.323,3.242,-0.053,0.626
relu,constant,"(50,10)",0.001,13.006,2.852,0.229,0.667
relu,constant,"(50,10)",0.0001,10.653,2.564,0.397,0.702
relu,constant,"(50,10)",1e-05,16.405,3.196,0.164,0.503
relu,constant,"(100,20)",0.01,14.954,3.052,0.136,0.645
relu,constant,"(100,20)",0.001,10.057,2.453,0.411,0.711
relu,constant,"(100,20)",0.0001,8.624,2.343,0.505,0.754
relu,constant,"(100,20)",1e-05,10.584,2.588,0.44,0.702
relu,constant,"(150,30)",0.01,14.349,2.997,0.168,0.646
relu,constant,"(150,30)",0.001,11.795,2.744,0.3,0.693
relu,constant,"(150,30)",0.0001,9.564,2.467,0.444,0.725
relu,constant,"(150,30)",1e-05,10.281,2.524,0.452,0.717
relu,constant,"(200,40)",0.01,12.987,2.806,0.246,0.645
relu,constant,"(200,40)",0.001,13.048,2.845,0.229,0.654
relu,constant,"(200,40)",0.0001,9.218,2.415,0.46,0.739
relu,constant,"(200,40)",1e-05,9.31,2.485,0.495,0.758
logistic,constant,"(50,10)",0.01,14.164,2.803,0.191,0.612
logistic,constant,"(50,10)",0.001,8.937,2.332,0.511,0.76
logistic,constant,"(50,10)",0.0001,9.979,2.456,0.492,0.747
logistic,constant,"(50,10)",1e-05,22.255,3.895,-0.167,0.254
logistic,constant,"(100,20)",0.01,16.985,3.097,-0.026,0.57
logistic,constant,"(100,20)",0.001,8.947,2.345,0.503,0.757
logistic,constant,"(100,20)",0.0001,9.734,2.426,0.495,0.742
logistic,constant,"(100,20)",1e-05,20.725,3.471,-0.051,0.121
logistic,constant,"(150,30)",0.01,12.755,2.771,0.208,0.68
logistic,constant,"(150,30)",0.001,8.973,2.349,0.498,0.756
logistic,constant,"(150,30)",0.0001,9.269,2.384,0.508,0.753
logistic,constant,"(150,30)",1e-05,20.047,3.57,-0.027,0.616
logistic,constant,"(200,40)",0.01,10.751,2.537,0.364,0.715
logistic,constant,"(200,40)",0.001,19.998,3.377,-0.009,0.705
logistic,constant,"(200,40)",0.0001,9.263,2.405,0.514,0.757
logistic,constant,"(200,40)",1e-05,20.317,3.644,-0.049,0.696
