kernel,C,gamma,epsilon,MSE,MAE,R^2-Score,PCC
RBF,5,0.1,0.001,10.871,2.597,0.391,0.678
RBF,5,0.1,0.01,10.909,2.604,0.389,0.677
RBF,5,0.1,0.1,11.111,2.629,0.38,0.668
RBF,5,0.1,0.5,10.262,2.531,0.443,0.711
RBF,5,0.1,0.8,10.448,2.577,0.436,0.709
RBF,5,0.01,0.001,8.425,2.332,0.52,0.767
RBF,5,0.01,0.01,8.431,2.331,0.52,0.767
RBF,5,0.01,0.1,8.594,2.337,0.513,0.763
RBF,5,0.01,0.5,8.892,2.374,0.512,0.766
RBF,5,0.01,0.8,8.556,2.348,0.527,0.766
RBF,5,0.001,0.001,9.268,2.393,0.497,0.75
RBF,5,0.001,0.01,9.271,2.395,0.498,0.75
RBF,5,0.001,0.1,9.364,2.418,0.498,0.753
RBF,5,0.001,0.5,9.689,2.444,0.494,0.754
RBF,5,0.001,0.8,10.344,2.532,0.468,0.746
RBF,5,0.0001,0.001,14.621,2.957,0.267,0.745
RBF,5,0.0001,0.01,14.595,2.955,0.268,0.745
RBF,5,0.0001,0.1,14.478,2.964,0.273,0.744
RBF,5,0.0001,0.5,14.789,2.968,0.257,0.748
RBF,5,0.0001,0.8,15.765,3.095,0.208,0.743
RBF,10,0.1,0.001,11.723,2.69,0.344,0.653
RBF,10,0.1,0.01,11.751,2.694,0.342,0.652
RBF,10,0.1,0.1,12.086,2.738,0.326,0.643
RBF,10,0.1,0.5,10.327,2.526,0.443,0.712
RBF,10,0.1,0.8,10.375,2.565,0.437,0.71
RBF,10,0.01,0.001,8.397,2.308,0.517,0.768
RBF,10,0.01,0.01,8.426,2.309,0.515,0.768
RBF,10,0.01,0.1,8.835,2.364,0.494,0.759
RBF,10,0.01,0.5,8.699,2.351,0.515,0.769
RBF,10,0.01,0.8,8.352,2.327,0.531,0.767
RBF,10,0.001,0.001,9.02,2.363,0.5,0.75
RBF,10,0.001,0.01,9.066,2.369,0.497,0.749
RBF,10,0.001,0.1,9.107,2.382,0.497,0.752
RBF,10,0.001,0.5,9.17,2.399,0.511,0.757
RBF,10,0.001,0.8,9.535,2.441,0.494,0.747
RBF,10,0.0001,0.001,12.082,2.707,0.39,0.748
RBF,10,0.0001,0.01,12.061,2.704,0.391,0.748
RBF,10,0.0001,0.1,12.077,2.703,0.391,0.749
RBF,10,0.0001,0.5,12.793,2.764,0.356,0.752
RBF,10,0.0001,0.8,13.464,2.872,0.323,0.744
RBF,15,0.1,0.001,12.691,2.812,0.288,0.628
RBF,15,0.1,0.01,12.678,2.81,0.288,0.629
RBF,15,0.1,0.1,12.611,2.803,0.294,0.632
RBF,15,0.1,0.5,10.579,2.575,0.43,0.705
RBF,15,0.1,0.8,10.382,2.569,0.437,0.71
RBF,15,0.01,0.001,8.712,2.334,0.495,0.761
RBF,15,0.01,0.01,8.717,2.337,0.495,0.761
RBF,15,0.01,0.1,9.042,2.393,0.479,0.754
RBF,15,0.01,0.5,8.471,2.323,0.523,0.771
RBF,15,0.01,0.8,8.413,2.337,0.528,0.764
RBF,15,0.001,0.001,9.19,2.382,0.485,0.745
RBF,15,0.001,0.01,9.176,2.385,0.486,0.746
RBF,15,0.001,0.1,9.153,2.39,0.487,0.749
RBF,15,0.001,0.5,9.252,2.404,0.502,0.752
RBF,15,0.001,0.8,9.204,2.4,0.504,0.752
RBF,15,0.0001,0.001,11.152,2.599,0.43,0.748
RBF,15,0.0001,0.01,11.149,2.599,0.43,0.749
RBF,15,0.0001,0.1,11.022,2.591,0.439,0.752
RBF,15,0.0001,0.5,11.478,2.624,0.421,0.753
RBF,15,0.0001,0.8,12.439,2.774,0.372,0.742
RBF,20,0.1,0.001,13.334,2.887,0.249,0.615
RBF,20,0.1,0.01,13.281,2.878,0.252,0.616
RBF,20,0.1,0.1,12.908,2.834,0.278,0.627
RBF,20,0.1,0.5,10.763,2.605,0.419,0.7
RBF,20,0.1,0.8,10.382,2.569,0.437,0.71
RBF,20,0.01,0.001,8.966,2.363,0.478,0.756
RBF,20,0.01,0.01,8.956,2.362,0.479,0.756
RBF,20,0.01,0.1,9.186,2.408,0.467,0.749
RBF,20,0.01,0.5,8.46,2.318,0.522,0.771
RBF,20,0.01,0.8,8.455,2.344,0.525,0.763
RBF,20,0.001,0.001,9.266,2.4,0.479,0.744
RBF,20,0.001,0.01,9.247,2.399,0.481,0.743
RBF,20,0.001,0.1,9.199,2.394,0.482,0.748
RBF,20,0.001,0.5,9.262,2.4,0.5,0.752
RBF,20,0.001,0.8,9.124,2.377,0.506,0.754
RBF,20,0.0001,0.001,10.615,2.54,0.453,0.75
RBF,20,0.0001,0.01,10.583,2.536,0.455,0.75
RBF,20,0.0001,0.1,10.508,2.543,0.459,0.753
RBF,20,0.0001,0.5,10.695,2.548,0.455,0.755
RBF,20,0.0001,0.8,11.784,2.712,0.403,0.742
