kernel,degree,C,gamma,coef0,epsilon,MSE,MAE,R^2-Score,PCC
poly,2,5,0.001,1,0.8,10.355,2.532,0.466,0.743
poly,2,5,0.001,2,0.01,9.128,2.373,0.494,0.747
poly,2,5,0.001,2,0.1,9.203,2.392,0.49,0.748
poly,2,5,0.001,2,0.5,9.237,2.4,0.508,0.754
poly,2,5,0.001,2,0.8,9.577,2.445,0.491,0.746
poly,2,5,0.001,3,0.01,9.266,2.398,0.481,0.743
poly,2,5,0.001,3,0.1,9.264,2.4,0.483,0.746
poly,2,5,0.001,3,0.5,9.334,2.408,0.499,0.748
poly,2,5,0.001,3,0.8,9.284,2.4,0.5,0.75
poly,2,5,0.001,4,0.01,9.411,2.421,0.471,0.739
poly,2,5,0.001,4,0.1,9.278,2.404,0.48,0.744
poly,2,5,0.001,4,0.5,9.366,2.411,0.495,0.747
poly,2,5,0.001,4,0.8,9.13,2.377,0.505,0.75
poly,2,10,0.1,1,0.01,10.018,2.483,0.409,0.734
poly,2,10,0.1,1,0.1,10.201,2.506,0.388,0.728
poly,2,10,0.1,1,0.5,10.96,2.525,0.365,0.706
poly,2,10,0.1,1,0.8,12.564,2.603,0.312,0.661
poly,2,10,0.1,2,0.01,10.015,2.482,0.409,0.733
poly,2,10,0.1,2,0.1,10.219,2.509,0.387,0.728
poly,2,10,0.1,2,0.5,10.976,2.527,0.364,0.707
poly,2,10,0.1,2,0.8,12.582,2.6,0.311,0.662
poly,2,10,0.1,3,0.01,10.012,2.482,0.409,0.733
poly,2,10,0.1,3,0.1,10.241,2.51,0.386,0.728
poly,2,10,0.1,3,0.5,10.991,2.529,0.363,0.707
poly,2,10,0.1,3,0.8,12.59,2.6,0.311,0.662
poly,2,10,0.1,4,0.01,10.008,2.481,0.41,0.733
poly,2,10,0.1,4,0.1,10.234,2.51,0.387,0.728
poly,2,10,0.1,4,0.5,10.991,2.53,0.362,0.707
poly,2,10,0.1,4,0.8,12.6,2.601,0.31,0.662
poly,2,10,0.01,1,0.01,8.876,2.336,0.478,0.759
poly,2,10,0.01,1,0.1,8.99,2.35,0.471,0.757
poly,2,10,0.01,1,0.5,9.089,2.39,0.493,0.758
poly,2,10,0.01,1,0.8,8.921,2.357,0.497,0.749
poly,2,10,0.01,2,0.01,8.875,2.338,0.477,0.759
poly,2,10,0.01,2,0.1,9.04,2.353,0.467,0.756
poly,2,10,0.01,2,0.5,9.1,2.392,0.491,0.757
poly,2,10,0.01,2,0.8,8.944,2.354,0.494,0.748
poly,2,10,0.01,3,0.01,8.875,2.338,0.477,0.759
poly,2,10,0.01,3,0.1,9.056,2.353,0.466,0.755
poly,2,10,0.01,3,0.5,9.099,2.393,0.49,0.757
poly,2,10,0.01,3,0.8,8.965,2.355,0.493,0.747
poly,2,10,0.01,4,0.01,8.878,2.338,0.477,0.759
poly,2,10,0.01,4,0.1,9.065,2.354,0.465,0.755
poly,2,10,0.01,4,0.5,9.096,2.393,0.49,0.757
poly,2,10,0.01,4,0.8,8.977,2.356,0.492,0.747
poly,2,10,0.001,1,0.01,9.108,2.371,0.495,0.748
poly,2,10,0.001,1,0.1,9.177,2.391,0.491,0.749
poly,2,10,0.001,1,0.5,9.252,2.403,0.507,0.754
poly,2,10,0.001,1,0.8,9.561,2.444,0.492,0.746
poly,2,10,0.001,2,0.01,9.417,2.42,0.471,0.739
poly,2,10,0.001,2,0.1,9.273,2.404,0.48,0.744
poly,2,10,0.001,2,0.5,9.376,2.412,0.494,0.747
poly,2,10,0.001,2,0.8,9.132,2.377,0.504,0.75
poly,2,10,0.001,3,0.01,9.595,2.44,0.459,0.733
poly,2,10,0.001,3,0.1,9.271,2.401,0.477,0.743
poly,2,10,0.001,3,0.5,9.387,2.408,0.489,0.742
poly,2,10,0.001,3,0.8,9.262,2.367,0.495,0.749
poly,2,10,0.001,4,0.01,9.756,2.455,0.448,0.73
poly,2,10,0.001,4,0.1,9.259,2.404,0.476,0.742
