Activation,Learning_strategy,Layers,Learning_rate,MSE,MAE,R^2-Score,PCC
relu,constant,"(50,)",0.01,19.119,3.342,0.041,0.568
relu,constant,"(50,)",0.001,14.229,2.949,0.29,0.641
relu,constant,"(50,)",0.0001,9.85,2.502,0.506,0.724
relu,constant,"(50,)",1e-05,15.64,2.975,0.219,0.535
relu,constant,"(100,)",0.01,20.143,3.503,-0.02,0.524
relu,constant,"(100,)",0.001,15.536,3.202,0.219,0.6
relu,constant,"(100,)",0.0001,9.785,2.453,0.507,0.722
relu,constant,"(100,)",1e-05,12.805,2.851,0.356,0.626
relu,constant,"(150,)",0.01,18.052,3.379,0.089,0.583
relu,constant,"(150,)",0.001,15.294,3.089,0.231,0.613
relu,constant,"(150,)",0.0001,9.904,2.495,0.502,0.722
relu,constant,"(150,)",1e-05,11.268,2.582,0.437,0.705
relu,constant,"(200,)",0.01,16.089,3.203,0.189,0.62
relu,constant,"(200,)",0.001,14.706,3.073,0.262,0.622
relu,constant,"(200,)",0.0001,9.556,2.433,0.521,0.731
relu,constant,"(200,)",1e-05,11.051,2.617,0.448,0.694
relu,constant,"(250,)",0.01,19.154,3.378,0.032,0.565
relu,constant,"(250,)",0.001,15.166,3.1,0.241,0.61
relu,constant,"(250,)",0.0001,10.106,2.54,0.494,0.714
relu,constant,"(250,)",1e-05,10.538,2.59,0.473,0.714
relu,constant,"(300,)",0.01,18.74,3.383,0.059,0.562
relu,constant,"(300,)",0.001,15.665,3.183,0.214,0.612
relu,constant,"(300,)",0.0001,10.419,2.557,0.479,0.709
relu,constant,"(300,)",1e-05,11.009,2.583,0.454,0.696
logistic,constant,"(50,)",0.01,17.557,3.325,0.122,0.534
logistic,constant,"(50,)",0.001,9.147,2.369,0.541,0.74
logistic,constant,"(50,)",0.0001,9.494,2.416,0.526,0.742
logistic,constant,"(50,)",1e-05,18.317,3.341,0.087,0.486
logistic,constant,"(100,)",0.01,15.636,3.184,0.213,0.57
logistic,constant,"(100,)",0.001,9.039,2.35,0.546,0.744
logistic,constant,"(100,)",0.0001,9.593,2.431,0.519,0.737
logistic,constant,"(100,)",1e-05,18.826,3.485,0.06,0.637
logistic,constant,"(150,)",0.01,11.623,2.653,0.418,0.664
logistic,constant,"(150,)",0.001,9.071,2.358,0.545,0.743
logistic,constant,"(150,)",0.0001,9.471,2.417,0.526,0.739
logistic,constant,"(150,)",1e-05,18.045,3.282,0.1,0.653
logistic,constant,"(200,)",0.01,11.822,2.659,0.408,0.67
logistic,constant,"(200,)",0.001,9.21,2.38,0.537,0.738
logistic,constant,"(200,)",0.0001,9.132,2.37,0.542,0.744
logistic,constant,"(200,)",1e-05,17.85,3.311,0.113,0.621
logistic,constant,"(250,)",0.01,11.899,2.717,0.404,0.66
logistic,constant,"(250,)",0.001,9.071,2.363,0.544,0.743
logistic,constant,"(250,)",0.0001,9.265,2.389,0.535,0.741
logistic,constant,"(250,)",1e-05,18.086,3.359,0.098,0.613
logistic,constant,"(300,)",0.01,10.068,2.449,0.494,0.72
logistic,constant,"(300,)",0.001,9.12,2.371,0.542,0.741
logistic,constant,"(300,)",0.0001,9.233,2.381,0.537,0.742
logistic,constant,"(300,)",1e-05,17.932,3.308,0.108,0.628
relu,constant,"(50,10)",0.01,15.185,3.026,0.235,0.609
relu,constant,"(50,10)",0.001,13.771,2.917,0.308,0.629
relu,constant,"(50,10)",0.0001,10.417,2.557,0.478,0.705
relu,constant,"(50,10)",1e-05,14.904,2.935,0.256,0.613
relu,constant,"(100,20)",0.01,17.688,3.253,0.1,0.575
relu,constant,"(100,20)",0.001,14.964,3.078,0.246,0.606
relu,constant,"(100,20)",0.0001,11.269,2.653,0.434,0.678
relu,constant,"(100,20)",1e-05,12.089,2.68,0.396,0.65
relu,constant,"(150,30)",0.01,15.843,3.145,0.205,0.587
relu,constant,"(150,30)",0.001,14.397,2.989,0.276,0.616
relu,constant,"(150,30)",0.0001,11.027,2.635,0.447,0.688
relu,constant,"(150,30)",1e-05,10.38,2.528,0.478,0.713
relu,constant,"(200,40)",0.01,15.951,3.165,0.203,0.567
relu,constant,"(200,40)",0.001,13.853,2.981,0.306,0.624
relu,constant,"(200,40)",0.0001,11.194,2.668,0.439,0.682
relu,constant,"(200,40)",1e-05,10.156,2.557,0.49,0.707
logistic,constant,"(50,10)",0.01,16.817,3.306,0.163,0.573
logistic,constant,"(50,10)",0.001,9.589,2.389,0.518,0.724
logistic,constant,"(50,10)",0.0001,18.416,3.322,0.082,0.654
logistic,constant,"(50,10)",1e-05,26.667,3.746,-0.331,0.284
logistic,constant,"(100,20)",0.01,18.991,3.36,0.044,0.492
logistic,constant,"(100,20)",0.001,11.197,2.597,0.439,0.689
logistic,constant,"(100,20)",0.0001,9.2,2.365,0.54,0.742
logistic,constant,"(100,20)",1e-05,20.209,3.586,-0.008,-0.087
logistic,constant,"(150,30)",0.01,18.386,3.388,0.071,0.497
logistic,constant,"(150,30)",0.001,11.045,2.609,0.446,0.694
logistic,constant,"(150,30)",0.0001,9.022,2.344,0.548,0.746
logistic,constant,"(150,30)",1e-05,20.2,3.601,-0.008,0.414
logistic,constant,"(200,40)",0.01,18.36,3.365,0.071,0.543
logistic,constant,"(200,40)",0.001,11.991,2.683,0.4,0.672
logistic,constant,"(200,40)",0.0001,8.902,2.335,0.553,0.749
logistic,constant,"(200,40)",1e-05,20.223,3.589,-0.009,-0.105
