kernel,C,gamma,epsilon,MSE,MAE,R^2-Score,PCC
RBF,5,0.1,0.001,13.556,2.902,0.323,0.592
RBF,5,0.1,0.01,13.516,2.898,0.326,0.594
RBF,5,0.1,0.1,12.941,2.844,0.355,0.612
RBF,5,0.1,0.5,10.754,2.622,0.464,0.685
RBF,5,0.1,0.8,11.016,2.647,0.449,0.69
RBF,5,0.01,0.001,9.764,2.428,0.509,0.722
RBF,5,0.01,0.01,9.74,2.426,0.51,0.723
RBF,5,0.01,0.1,9.521,2.394,0.521,0.729
RBF,5,0.01,0.5,9.12,2.42,0.543,0.742
RBF,5,0.01,0.8,8.866,2.407,0.555,0.75
RBF,5,0.001,0.001,9.799,2.444,0.508,0.73
RBF,5,0.001,0.01,9.777,2.444,0.509,0.731
RBF,5,0.001,0.1,9.616,2.422,0.518,0.74
RBF,5,0.001,0.5,9.712,2.475,0.513,0.745
RBF,5,0.001,0.8,10.493,2.581,0.475,0.736
RBF,5,0.0001,0.001,15.66,3.043,0.22,0.728
RBF,5,0.0001,0.01,15.641,3.043,0.22,0.729
RBF,5,0.0001,0.1,15.524,3.043,0.226,0.726
RBF,5,0.0001,0.5,15.843,3.072,0.209,0.733
RBF,5,0.0001,0.8,16.423,3.163,0.181,0.728
RBF,10,0.1,0.001,14.753,3.034,0.264,0.561
RBF,10,0.1,0.01,14.676,3.027,0.268,0.563
RBF,10,0.1,0.1,13.732,2.953,0.316,0.589
RBF,10,0.1,0.5,10.752,2.62,0.464,0.685
RBF,10,0.1,0.8,11.016,2.647,0.449,0.69
RBF,10,0.01,0.001,10.09,2.437,0.493,0.714
RBF,10,0.01,0.01,10.066,2.438,0.495,0.715
RBF,10,0.01,0.1,9.707,2.418,0.512,0.725
RBF,10,0.01,0.5,9.16,2.418,0.54,0.743
RBF,10,0.01,0.8,8.753,2.396,0.561,0.751
RBF,10,0.001,0.001,9.517,2.396,0.521,0.731
RBF,10,0.001,0.01,9.453,2.391,0.524,0.733
RBF,10,0.001,0.1,9.469,2.403,0.523,0.734
RBF,10,0.001,0.5,9.216,2.427,0.537,0.746
RBF,10,0.001,0.8,9.61,2.486,0.518,0.737
RBF,10,0.0001,0.001,12.781,2.767,0.362,0.732
RBF,10,0.0001,0.01,12.771,2.768,0.363,0.733
RBF,10,0.0001,0.1,12.935,2.78,0.355,0.733
RBF,10,0.0001,0.5,13.301,2.836,0.336,0.742
RBF,10,0.0001,0.8,14.358,2.96,0.283,0.738
RBF,15,0.1,0.001,14.792,3.055,0.262,0.562
RBF,15,0.1,0.01,14.723,3.05,0.266,0.563
RBF,15,0.1,0.1,13.878,2.973,0.309,0.585
RBF,15,0.1,0.5,10.752,2.62,0.464,0.685
RBF,15,0.1,0.8,11.016,2.647,0.449,0.69
RBF,15,0.01,0.001,10.565,2.505,0.47,0.703
RBF,15,0.01,0.01,10.582,2.507,0.469,0.702
RBF,15,0.01,0.1,10.24,2.485,0.486,0.712
RBF,15,0.01,0.5,9.244,2.414,0.536,0.74
RBF,15,0.01,0.8,8.803,2.382,0.559,0.753
RBF,15,0.001,0.001,9.489,2.393,0.522,0.73
RBF,15,0.001,0.01,9.454,2.39,0.524,0.731
RBF,15,0.001,0.1,9.537,2.402,0.519,0.729
RBF,15,0.001,0.5,9.212,2.424,0.537,0.741
RBF,15,0.001,0.8,9.459,2.46,0.526,0.734
RBF,15,0.0001,0.001,11.751,2.647,0.413,0.735
RBF,15,0.0001,0.01,11.713,2.643,0.414,0.736
RBF,15,0.0001,0.1,11.73,2.649,0.414,0.737
RBF,15,0.0001,0.5,12.389,2.742,0.381,0.741
RBF,15,0.0001,0.8,13.161,2.849,0.343,0.733
RBF,20,0.1,0.001,14.804,3.071,0.262,0.563
RBF,20,0.1,0.01,14.739,3.063,0.265,0.564
RBF,20,0.1,0.1,13.87,2.978,0.309,0.586
RBF,20,0.1,0.5,10.752,2.62,0.464,0.685
RBF,20,0.1,0.8,11.016,2.647,0.449,0.69
RBF,20,0.01,0.001,11.118,2.579,0.442,0.69
RBF,20,0.01,0.01,11.066,2.571,0.445,0.691
RBF,20,0.01,0.1,10.656,2.535,0.466,0.701
RBF,20,0.01,0.5,9.371,2.424,0.53,0.738
RBF,20,0.01,0.8,8.917,2.377,0.554,0.752
RBF,20,0.001,0.001,9.488,2.397,0.522,0.729
RBF,20,0.001,0.01,9.498,2.4,0.522,0.728
RBF,20,0.001,0.1,9.735,2.416,0.509,0.721
RBF,20,0.001,0.5,9.291,2.427,0.533,0.735
RBF,20,0.001,0.8,9.347,2.458,0.531,0.736
RBF,20,0.0001,0.001,10.972,2.568,0.451,0.735
RBF,20,0.0001,0.01,10.969,2.569,0.451,0.736
RBF,20,0.0001,0.1,10.926,2.564,0.453,0.738
RBF,20,0.0001,0.5,11.434,2.638,0.429,0.742
RBF,20,0.0001,0.8,12.296,2.759,0.386,0.731
