kernel,degree,C,gamma,coef0,epsilon,MSE,MAE,R^2-Score,PCC
poly,2,1,0.1,1,0.01,14.921,2.852,0.248,0.633
poly,2,1,0.1,1,0.1,14.469,2.832,0.27,0.64
poly,2,1,0.1,1,0.5,12.353,2.654,0.378,0.663
poly,2,1,0.1,1,0.8,10.855,2.502,0.458,0.697
poly,2,1,0.1,2,0.01,15.022,2.862,0.244,0.627
poly,2,1,0.1,2,0.1,14.652,2.845,0.26,0.637
poly,2,1,0.1,2,0.5,12.47,2.659,0.372,0.661
poly,2,1,0.1,2,0.8,10.977,2.527,0.452,0.693
poly,2,1,0.1,3,0.01,15.067,2.866,0.242,0.625
poly,2,1,0.1,3,0.1,14.713,2.849,0.257,0.636
poly,2,1,0.1,3,0.5,12.542,2.664,0.368,0.66
poly,2,1,0.1,3,0.8,11.02,2.537,0.449,0.691
poly,2,1,0.1,4,0.01,15.103,2.869,0.24,0.623
poly,2,1,0.1,4,0.1,14.75,2.852,0.256,0.635
poly,2,1,0.1,4,0.5,12.587,2.667,0.366,0.659
poly,2,1,0.1,4,0.8,11.046,2.543,0.448,0.69
poly,2,1,0.01,1,0.01,9.468,2.391,0.524,0.733
poly,2,1,0.01,1,0.1,9.468,2.398,0.523,0.733
poly,2,1,0.01,1,0.5,9.188,2.427,0.539,0.746
poly,2,1,0.01,1,0.8,9.624,2.497,0.518,0.734
poly,2,1,0.01,2,0.01,9.612,2.403,0.516,0.725
poly,2,1,0.01,2,0.1,9.663,2.407,0.513,0.725
poly,2,1,0.01,2,0.5,9.306,2.439,0.532,0.734
poly,2,1,0.01,2,0.8,9.421,2.461,0.527,0.733
poly,2,1,0.01,3,0.01,9.731,2.422,0.51,0.722
poly,2,1,0.01,3,0.1,9.745,2.409,0.508,0.722
poly,2,1,0.01,3,0.5,9.361,2.437,0.529,0.731
poly,2,1,0.01,3,0.8,9.44,2.458,0.525,0.728
poly,2,1,0.01,4,0.01,9.821,2.433,0.505,0.719
poly,2,1,0.01,4,0.1,9.857,2.424,0.503,0.718
poly,2,1,0.01,4,0.5,9.362,2.434,0.529,0.73
poly,2,1,0.01,4,0.8,9.472,2.464,0.524,0.726
poly,2,1,0.001,1,0.01,12.763,2.768,0.363,0.733
poly,2,1,0.001,1,0.1,12.907,2.778,0.356,0.733
poly,2,1,0.001,1,0.5,13.3,2.836,0.336,0.741
poly,2,1,0.001,1,0.8,14.339,2.959,0.284,0.738
poly,2,1,0.001,2,0.01,10.98,2.57,0.45,0.735
poly,2,1,0.001,2,0.1,10.92,2.564,0.453,0.738
poly,2,1,0.001,2,0.5,11.42,2.636,0.43,0.741
poly,2,1,0.001,2,0.8,12.283,2.758,0.386,0.73
poly,2,1,0.001,3,0.01,10.507,2.507,0.474,0.733
poly,2,1,0.001,3,0.1,10.187,2.49,0.49,0.737
poly,2,1,0.001,3,0.5,10.562,2.552,0.471,0.742
poly,2,1,0.001,3,0.8,11.395,2.678,0.431,0.729
poly,2,1,0.001,4,0.01,10.08,2.471,0.494,0.729
poly,2,1,0.001,4,0.1,9.92,2.457,0.503,0.737
poly,2,1,0.001,4,0.5,10.028,2.505,0.498,0.744
poly,2,1,0.001,4,0.8,11.016,2.634,0.449,0.726
poly,2,5,0.1,1,0.01,25.512,3.445,-0.284,0.518
poly,2,5,0.1,1,0.1,21.503,3.309,-0.089,0.55
poly,2,5,0.1,1,0.5,18.866,3.171,0.042,0.573
poly,2,5,0.1,1,0.8,13.32,2.737,0.339,0.628
poly,2,5,0.1,2,0.01,25.626,3.454,-0.29,0.516
poly,2,5,0.1,2,0.1,21.472,3.31,-0.087,0.551
poly,2,5,0.1,2,0.5,18.847,3.174,0.043,0.573
poly,2,5,0.1,2,0.8,13.459,2.758,0.332,0.626
poly,2,5,0.1,3,0.01,25.648,3.457,-0.29,0.516
poly,2,5,0.1,3,0.1,21.474,3.311,-0.087,0.551
poly,2,5,0.1,3,0.5,18.852,3.176,0.043,0.573
poly,2,5,0.1,3,0.8,13.544,2.767,0.327,0.624
poly,2,5,0.1,4,0.01,25.667,3.458,-0.291,0.515
poly,2,5,0.1,4,0.1,21.459,3.31,-0.086,0.551
poly,2,5,0.1,4,0.5,18.843,3.176,0.044,0.574
poly,2,5,0.1,4,0.8,13.579,2.772,0.325,0.623
poly,2,5,0.01,1,0.01,9.773,2.401,0.506,0.725
poly,2,5,0.01,1,0.1,9.718,2.407,0.509,0.724
poly,2,5,0.01,1,0.5,9.288,2.428,0.534,0.734
poly,2,5,0.01,1,0.8,9.164,2.439,0.539,0.737
poly,2,5,0.01,2,0.01,9.928,2.42,0.499,0.721
poly,2,5,0.01,2,0.1,9.841,2.424,0.503,0.721
poly,2,5,0.01,2,0.5,9.365,2.43,0.53,0.731
poly,2,5,0.01,2,0.8,9.379,2.464,0.528,0.73
poly,2,5,0.01,3,0.01,9.981,2.427,0.496,0.72
poly,2,5,0.01,3,0.1,9.891,2.431,0.501,0.72
poly,2,5,0.01,3,0.5,9.403,2.434,0.528,0.73
poly,2,5,0.01,3,0.8,9.537,2.481,0.52,0.726
poly,2,5,0.01,4,0.01,10.008,2.43,0.495,0.719
poly,2,5,0.01,4,0.1,9.908,2.433,0.5,0.72
poly,2,5,0.01,4,0.5,9.424,2.435,0.527,0.729
poly,2,5,0.01,4,0.8,9.67,2.489,0.514,0.722
poly,2,5,0.001,1,0.01,9.794,2.446,0.508,0.728
poly,2,5,0.001,1,0.1,9.701,2.428,0.513,0.736
poly,2,5,0.001,1,0.5,9.674,2.474,0.515,0.743
poly,2,5,0.001,1,0.8,10.452,2.578,0.477,0.735
poly,2,5,0.001,2,0.01,9.605,2.402,0.516,0.727
poly,2,5,0.001,2,0.1,9.532,2.408,0.52,0.73
poly,2,5,0.001,2,0.5,9.253,2.427,0.535,0.743
poly,2,5,0.001,2,0.8,9.657,2.487,0.516,0.733
poly,2,5,0.001,3,0.01,9.603,2.402,0.516,0.725
poly,2,5,0.001,3,0.1,9.637,2.417,0.514,0.724
poly,2,5,0.001,3,0.5,9.256,2.416,0.535,0.738
poly,2,5,0.001,3,0.8,9.539,2.465,0.522,0.73
poly,2,5,0.001,4,0.01,9.652,2.415,0.513,0.723
poly,2,5,0.001,4,0.1,9.863,2.434,0.502,0.716
poly,2,5,0.001,4,0.5,9.358,2.428,0.529,0.732
poly,2,5,0.001,4,0.8,9.471,2.467,0.525,0.731
poly,2,10,0.1,1,0.01,32.813,3.805,-0.647,0.46
poly,2,10,0.1,1,0.1,26.914,3.638,-0.354,0.496
poly,2,10,0.1,1,0.5,24.24,3.5,-0.231,0.513
poly,2,10,0.1,1,0.8,13.32,2.737,0.339,0.628
poly,2,10,0.1,2,0.01,32.812,3.805,-0.647,0.46
poly,2,10,0.1,2,0.1,27.099,3.646,-0.364,0.494
poly,2,10,0.1,2,0.5,24.241,3.5,-0.231,0.514
poly,2,10,0.1,2,0.8,13.459,2.758,0.332,0.626
poly,2,10,0.1,3,0.01,32.906,3.809,-0.652,0.459
poly,2,10,0.1,3,0.1,27.16,3.648,-0.367,0.493
poly,2,10,0.1,3,0.5,24.246,3.501,-0.232,0.514
poly,2,10,0.1,3,0.8,13.544,2.767,0.327,0.624
poly,2,10,0.1,4,0.01,32.846,3.807,-0.649,0.459
poly,2,10,0.1,4,0.1,27.149,3.649,-0.367,0.493
poly,2,10,0.1,4,0.5,24.241,3.501,-0.231,0.514
poly,2,10,0.1,4,0.8,13.579,2.772,0.325,0.623
poly,2,10,0.01,1,0.01,9.869,2.42,0.502,0.723
poly,2,10,0.01,1,0.1,9.723,2.403,0.509,0.726
poly,2,10,0.01,1,0.5,9.121,2.395,0.542,0.742
poly,2,10,0.01,1,0.8,9.302,2.45,0.532,0.732
poly,2,10,0.01,2,0.01,10.021,2.437,0.494,0.719
poly,2,10,0.01,2,0.1,9.763,2.407,0.507,0.725
poly,2,10,0.01,2,0.5,9.21,2.404,0.538,0.738
poly,2,10,0.01,2,0.8,9.41,2.463,0.527,0.729
poly,2,10,0.01,3,0.01,10.083,2.445,0.491,0.718
poly,2,10,0.01,3,0.1,9.79,2.41,0.506,0.724
poly,2,10,0.01,3,0.5,9.247,2.408,0.536,0.737
poly,2,10,0.01,3,0.8,9.468,2.47,0.524,0.727
poly,2,10,0.01,4,0.01,10.116,2.45,0.49,0.717
poly,2,10,0.01,4,0.1,9.806,2.411,0.505,0.724
poly,2,10,0.01,4,0.5,9.263,2.41,0.535,0.736
poly,2,10,0.01,4,0.8,9.498,2.473,0.522,0.726
poly,2,10,0.001,1,0.01,9.59,2.401,0.517,0.728
poly,2,10,0.001,1,0.1,9.531,2.409,0.52,0.73
poly,2,10,0.001,1,0.5,9.244,2.426,0.536,0.743
poly,2,10,0.001,1,0.8,9.66,2.489,0.516,0.733
poly,2,10,0.001,2,0.01,9.64,2.414,0.514,0.723
poly,2,10,0.001,2,0.1,9.858,2.432,0.503,0.717
poly,2,10,0.001,2,0.5,9.351,2.428,0.53,0.733
poly,2,10,0.001,2,0.8,9.471,2.468,0.525,0.731
poly,2,10,0.001,3,0.01,9.758,2.434,0.508,0.719
poly,2,10,0.001,3,0.1,10.018,2.446,0.494,0.711
poly,2,10,0.001,3,0.5,9.38,2.434,0.528,0.73
poly,2,10,0.001,3,0.8,9.408,2.445,0.527,0.73
poly,2,10,0.001,4,0.01,10.014,2.464,0.495,0.712
poly,2,10,0.001,4,0.1,10.117,2.461,0.489,0.709
poly,2,10,0.001,4,0.5,9.379,2.433,0.528,0.729
poly,2,10,0.001,4,0.8,9.532,2.465,0.521,0.725
poly,2,15,0.1,1,0.01,37.947,4.038,-0.901,0.427
poly,2,15,0.1,1,0.1,30.727,3.835,-0.541,0.462
poly,2,15,0.1,1,0.5,27.757,3.681,-0.412,0.481
poly,2,15,0.1,1,0.8,13.32,2.737,0.339,0.628
poly,2,15,0.1,2,0.01,38.107,4.044,-0.909,0.426
poly,2,15,0.1,2,0.1,30.813,3.838,-0.545,0.461
poly,2,15,0.1,2,0.5,27.758,3.685,-0.412,0.481
poly,2,15,0.1,2,0.8,13.459,2.758,0.332,0.626
poly,2,15,0.1,3,0.01,38.119,4.045,-0.91,0.427
poly,2,15,0.1,3,0.1,30.833,3.838,-0.546,0.46
poly,2,15,0.1,3,0.5,27.809,3.689,-0.415,0.48
poly,2,15,0.1,3,0.8,13.544,2.767,0.327,0.624
poly,2,15,0.1,4,0.01,38.146,4.046,-0.911,0.427
poly,2,15,0.1,4,0.1,30.839,3.839,-0.546,0.46
poly,2,15,0.1,4,0.5,27.768,3.688,-0.413,0.481
poly,2,15,0.1,4,0.8,13.579,2.772,0.325,0.623
poly,2,15,0.01,1,0.01,10.003,2.428,0.496,0.721
poly,2,15,0.01,1,0.1,9.962,2.432,0.498,0.722
poly,2,15,0.01,1,0.5,9.12,2.386,0.543,0.742
poly,2,15,0.01,1,0.8,9.295,2.439,0.533,0.732
poly,2,15,0.01,2,0.01,10.12,2.442,0.49,0.718
poly,2,15,0.01,2,0.1,10.029,2.439,0.495,0.72
poly,2,15,0.01,2,0.5,9.199,2.396,0.539,0.74
poly,2,15,0.01,2,0.8,9.42,2.454,0.527,0.728
poly,2,15,0.01,3,0.01,10.156,2.446,0.488,0.717
poly,2,15,0.01,3,0.1,10.054,2.442,0.494,0.719
poly,2,15,0.01,3,0.5,9.23,2.4,0.537,0.739
poly,2,15,0.01,3,0.8,9.475,2.459,0.524,0.727
poly,2,15,0.01,4,0.01,10.173,2.448,0.487,0.716
poly,2,15,0.01,4,0.1,10.07,2.443,0.493,0.719
poly,2,15,0.01,4,0.5,9.245,2.402,0.537,0.738
poly,2,15,0.01,4,0.8,9.497,2.461,0.523,0.726
poly,2,15,0.001,1,0.01,9.563,2.399,0.518,0.727
poly,2,15,0.001,1,0.1,9.631,2.415,0.514,0.724
poly,2,15,0.001,1,0.5,9.246,2.418,0.535,0.739
poly,2,15,0.001,1,0.8,9.539,2.467,0.522,0.73
poly,2,15,0.001,2,0.01,9.762,2.434,0.508,0.719
poly,2,15,0.001,2,0.1,9.996,2.443,0.496,0.712
poly,2,15,0.001,2,0.5,9.376,2.434,0.528,0.73
poly,2,15,0.001,2,0.8,9.412,2.445,0.527,0.73
poly,2,15,0.001,3,0.01,10.064,2.467,0.493,0.71
poly,2,15,0.001,3,0.1,10.099,2.463,0.49,0.71
poly,2,15,0.001,3,0.5,9.378,2.431,0.529,0.729
poly,2,15,0.001,3,0.8,9.527,2.467,0.521,0.725
poly,2,15,0.001,4,0.01,10.156,2.476,0.488,0.707
poly,2,15,0.001,4,0.1,10.146,2.467,0.488,0.709
poly,2,15,0.001,4,0.5,9.41,2.432,0.527,0.728
poly,2,15,0.001,4,0.8,9.587,2.477,0.518,0.724
