Activation,Learning_strategy,Layers,Learning_rate,MSE,MAE,R^2-Score,PCC
relu,constant,"(50,)",0.01,18.494,3.277,-0.05,0.583
relu,constant,"(50,)",0.001,10.157,2.545,0.412,0.709
relu,constant,"(50,)",0.0001,9.195,2.403,0.485,0.74
relu,constant,"(50,)",1e-05,14.073,2.882,0.25,0.582
relu,constant,"(100,)",0.01,16.737,3.099,0.053,0.588
relu,constant,"(100,)",0.001,10.049,2.563,0.414,0.705
relu,constant,"(100,)",0.0001,9.277,2.384,0.497,0.745
relu,constant,"(100,)",1e-05,14.092,2.784,0.302,0.607
relu,constant,"(150,)",0.01,14.558,2.933,0.177,0.651
relu,constant,"(150,)",0.001,12.032,2.792,0.296,0.666
relu,constant,"(150,)",0.0001,8.964,2.401,0.507,0.756
relu,constant,"(150,)",1e-05,11.475,2.626,0.425,0.732
relu,constant,"(200,)",0.01,13.992,2.894,0.188,0.63
relu,constant,"(200,)",0.001,11.056,2.679,0.354,0.706
relu,constant,"(200,)",0.0001,8.626,2.365,0.514,0.76
relu,constant,"(200,)",1e-05,10.335,2.606,0.45,0.75
relu,constant,"(250,)",0.01,16.907,2.964,0.045,0.588
relu,constant,"(250,)",0.001,12.581,2.813,0.266,0.631
relu,constant,"(250,)",0.0001,9.02,2.382,0.495,0.749
relu,constant,"(250,)",1e-05,11.447,2.636,0.42,0.703
relu,constant,"(300,)",0.01,13.568,2.83,0.239,0.647
relu,constant,"(300,)",0.001,12.105,2.712,0.296,0.656
relu,constant,"(300,)",0.0001,9.147,2.389,0.486,0.743
relu,constant,"(300,)",1e-05,10.93,2.567,0.44,0.717
logistic,constant,"(50,)",0.01,9.679,2.465,0.452,0.749
logistic,constant,"(50,)",0.001,9.124,2.381,0.502,0.75
logistic,constant,"(50,)",0.0001,9.805,2.465,0.488,0.749
logistic,constant,"(50,)",1e-05,20.85,3.434,-0.059,0.307
logistic,constant,"(100,)",0.01,9.542,2.437,0.463,0.75
logistic,constant,"(100,)",0.001,9.203,2.396,0.496,0.749
logistic,constant,"(100,)",0.0001,9.564,2.456,0.498,0.748
logistic,constant,"(100,)",1e-05,22.194,3.613,-0.125,-0.65
logistic,constant,"(150,)",0.01,9.461,2.386,0.478,0.738
logistic,constant,"(150,)",0.001,9.265,2.398,0.49,0.747
logistic,constant,"(150,)",0.0001,9.427,2.434,0.501,0.748
logistic,constant,"(150,)",1e-05,19.934,3.525,-0.015,0.193
logistic,constant,"(200,)",0.01,9.823,2.442,0.457,0.738
logistic,constant,"(200,)",0.001,9.187,2.395,0.497,0.75
logistic,constant,"(200,)",0.0001,9.705,2.472,0.493,0.748
logistic,constant,"(200,)",1e-05,16.345,3.225,0.162,0.756
logistic,constant,"(250,)",0.01,10.463,2.586,0.393,0.751
logistic,constant,"(250,)",0.001,9.226,2.397,0.494,0.748
logistic,constant,"(250,)",0.0001,9.547,2.451,0.497,0.747
logistic,constant,"(250,)",1e-05,18.391,3.313,0.07,0.676
logistic,constant,"(300,)",0.01,10.821,2.576,0.389,0.746
logistic,constant,"(300,)",0.001,9.222,2.394,0.493,0.748
logistic,constant,"(300,)",0.0001,9.5,2.448,0.499,0.748
logistic,constant,"(300,)",1e-05,18.551,3.333,0.063,0.703
relu,constant,"(50,10)",0.01,18.594,3.242,-0.094,0.577
relu,constant,"(50,10)",0.001,13.413,2.858,0.218,0.662
relu,constant,"(50,10)",0.0001,9.185,2.493,0.482,0.74
relu,constant,"(50,10)",1e-05,13.393,2.901,0.292,0.589
relu,constant,"(100,20)",0.01,15.871,3.029,0.085,0.585
relu,constant,"(100,20)",0.001,13.1,2.828,0.265,0.647
relu,constant,"(100,20)",0.0001,9.258,2.427,0.469,0.742
relu,constant,"(100,20)",1e-05,10.246,2.534,0.445,0.712
relu,constant,"(150,30)",0.01,16.334,3.176,0.075,0.584
relu,constant,"(150,30)",0.001,13.146,2.899,0.222,0.635
relu,constant,"(150,30)",0.0001,8.976,2.409,0.489,0.744
relu,constant,"(150,30)",1e-05,9.827,2.56,0.469,0.732
relu,constant,"(200,40)",0.01,14.372,2.92,0.177,0.626
relu,constant,"(200,40)",0.001,13.235,2.749,0.226,0.655
relu,constant,"(200,40)",0.0001,9.303,2.415,0.461,0.727
relu,constant,"(200,40)",1e-05,10.046,2.518,0.46,0.726
logistic,constant,"(50,10)",0.01,14.851,2.938,0.119,0.598
logistic,constant,"(50,10)",0.001,8.964,2.354,0.512,0.759
logistic,constant,"(50,10)",0.0001,14.282,2.849,0.346,0.727
logistic,constant,"(50,10)",1e-05,20.922,3.713,-0.083,-0.138
logistic,constant,"(100,20)",0.01,15.643,3.054,0.046,0.597
logistic,constant,"(100,20)",0.001,9.363,2.397,0.486,0.748
logistic,constant,"(100,20)",0.0001,9.518,2.42,0.499,0.747
logistic,constant,"(100,20)",1e-05,20.293,3.46,-0.03,0.337
logistic,constant,"(150,30)",0.01,14.389,2.774,0.169,0.617
logistic,constant,"(150,30)",0.001,9.195,2.382,0.495,0.752
logistic,constant,"(150,30)",0.0001,9.31,2.415,0.507,0.751
logistic,constant,"(150,30)",1e-05,20.439,3.639,-0.053,0.588
logistic,constant,"(200,40)",0.01,13.65,2.786,0.199,0.636
logistic,constant,"(200,40)",0.001,9.19,2.38,0.492,0.75
logistic,constant,"(200,40)",0.0001,9.215,2.404,0.508,0.752
logistic,constant,"(200,40)",1e-05,20.435,3.625,-0.049,0.225
