kernel,degree,C,gamma,coef0,epsilon,MSE,MAE,R^2-Score,PCC
poly,2,1,0.1,1,0.01,11.361,2.499,0.434,0.702
poly,2,1,0.1,1,0.1,11.082,2.492,0.447,0.7
poly,2,1,0.1,1,0.5,8.658,2.332,0.565,0.756
poly,2,1,0.1,1,0.8,9.175,2.347,0.538,0.74
poly,2,1,0.1,2,0.01,11.484,2.503,0.428,0.7
poly,2,1,0.1,2,0.1,11.137,2.491,0.445,0.699
poly,2,1,0.1,2,0.5,8.768,2.342,0.56,0.753
poly,2,1,0.1,2,0.8,9.171,2.346,0.539,0.74
poly,2,1,0.1,3,0.01,11.537,2.505,0.425,0.699
poly,2,1,0.1,3,0.1,11.171,2.491,0.443,0.699
poly,2,1,0.1,3,0.5,8.785,2.345,0.559,0.752
poly,2,1,0.1,3,0.8,9.156,2.345,0.539,0.74
poly,2,1,0.1,4,0.01,11.568,2.507,0.424,0.699
poly,2,1,0.1,4,0.1,11.185,2.491,0.442,0.698
poly,2,1,0.1,4,0.5,8.796,2.347,0.559,0.752
poly,2,1,0.1,4,0.8,9.145,2.343,0.54,0.74
poly,2,1,0.01,1,0.01,9.425,2.405,0.525,0.734
poly,2,1,0.01,1,0.1,9.428,2.42,0.525,0.733
poly,2,1,0.01,1,0.5,9.348,2.435,0.531,0.746
poly,2,1,0.01,1,0.8,9.416,2.457,0.528,0.741
poly,2,1,0.01,2,0.01,9.647,2.425,0.513,0.723
poly,2,1,0.01,2,0.1,9.642,2.44,0.514,0.723
poly,2,1,0.01,2,0.5,9.381,2.435,0.529,0.737
poly,2,1,0.01,2,0.8,9.197,2.409,0.538,0.742
poly,2,1,0.01,3,0.01,9.773,2.44,0.507,0.718
poly,2,1,0.01,3,0.1,9.762,2.453,0.508,0.719
poly,2,1,0.01,3,0.5,9.434,2.446,0.526,0.733
poly,2,1,0.01,3,0.8,9.168,2.398,0.539,0.741
poly,2,1,0.01,4,0.01,9.86,2.451,0.502,0.715
poly,2,1,0.01,4,0.1,9.788,2.457,0.506,0.717
poly,2,1,0.01,4,0.5,9.412,2.442,0.528,0.733
poly,2,1,0.01,4,0.8,9.087,2.384,0.544,0.743
poly,2,1,0.001,1,0.01,12.878,2.771,0.357,0.735
