kernel,degree,C,gamma,coef0,epsilon,MSE,MAE,R^2-Score,PCC
poly,2,5,0.001,1,0.8,10.333,2.543,0.465,0.742
poly,2,5,0.001,2,0.01,9.523,2.44,0.473,0.737
poly,2,5,0.001,2,0.1,9.555,2.434,0.473,0.74
poly,2,5,0.001,2,0.5,9.565,2.44,0.49,0.743
poly,2,5,0.001,2,0.8,9.501,2.457,0.495,0.747
poly,2,5,0.001,3,0.01,9.748,2.455,0.456,0.732
poly,2,5,0.001,3,0.1,9.516,2.434,0.472,0.74
poly,2,5,0.001,3,0.5,9.678,2.45,0.481,0.738
poly,2,5,0.001,3,0.8,9.231,2.411,0.5,0.749
poly,2,5,0.001,4,0.01,9.799,2.459,0.451,0.731
poly,2,5,0.001,4,0.1,9.519,2.437,0.47,0.738
poly,2,5,0.001,4,0.5,9.728,2.452,0.477,0.736
poly,2,5,0.001,4,0.8,9.131,2.395,0.504,0.752
poly,2,10,0.1,1,0.01,12.492,2.68,0.27,0.655
poly,2,10,0.1,1,0.1,11.852,2.632,0.301,0.672
poly,2,10,0.1,1,0.5,10.484,2.578,0.395,0.702
poly,2,10,0.1,1,0.8,12.784,2.753,0.249,0.633
poly,2,10,0.1,2,0.01,12.499,2.68,0.27,0.654
poly,2,10,0.1,2,0.1,11.836,2.631,0.302,0.672
poly,2,10,0.1,2,0.5,10.511,2.58,0.394,0.702
poly,2,10,0.1,2,0.8,12.813,2.755,0.247,0.633
poly,2,10,0.1,3,0.01,12.474,2.679,0.271,0.655
poly,2,10,0.1,3,0.1,11.853,2.632,0.302,0.672
poly,2,10,0.1,3,0.5,10.511,2.58,0.394,0.702
poly,2,10,0.1,3,0.8,12.827,2.756,0.246,0.633
poly,2,10,0.1,4,0.01,12.469,2.679,0.272,0.655
poly,2,10,0.1,4,0.1,11.854,2.632,0.302,0.672
poly,2,10,0.1,4,0.5,10.517,2.581,0.393,0.702
poly,2,10,0.1,4,0.8,12.83,2.756,0.246,0.633
poly,2,10,0.01,1,0.01,8.849,2.33,0.491,0.751
poly,2,10,0.01,1,0.1,9.1,2.364,0.479,0.746
poly,2,10,0.01,1,0.5,8.906,2.406,0.506,0.753
poly,2,10,0.01,1,0.8,8.775,2.376,0.507,0.754
poly,2,10,0.01,2,0.01,8.86,2.329,0.491,0.751
poly,2,10,0.01,2,0.1,9.165,2.368,0.473,0.744
poly,2,10,0.01,2,0.5,8.854,2.399,0.507,0.753
poly,2,10,0.01,2,0.8,8.794,2.377,0.506,0.752
poly,2,10,0.01,3,0.01,8.867,2.329,0.49,0.75
poly,2,10,0.01,3,0.1,9.185,2.368,0.472,0.743
poly,2,10,0.01,3,0.5,8.852,2.399,0.506,0.753
poly,2,10,0.01,3,0.8,8.793,2.377,0.505,0.752
poly,2,10,0.01,4,0.01,8.87,2.33,0.49,0.75
poly,2,10,0.01,4,0.1,9.191,2.368,0.471,0.743
poly,2,10,0.01,4,0.5,8.852,2.399,0.506,0.753
poly,2,10,0.01,4,0.8,8.801,2.377,0.505,0.752
poly,2,10,0.001,1,0.01,9.507,2.438,0.474,0.737
poly,2,10,0.001,1,0.1,9.54,2.432,0.473,0.74
poly,2,10,0.001,1,0.5,9.56,2.439,0.49,0.743
poly,2,10,0.001,1,0.8,9.488,2.456,0.495,0.747
poly,2,10,0.001,2,0.01,9.788,2.458,0.452,0.731
poly,2,10,0.001,2,0.1,9.501,2.436,0.471,0.739
poly,2,10,0.001,2,0.5,9.726,2.453,0.477,0.736
poly,2,10,0.001,2,0.8,9.129,2.395,0.504,0.752
poly,2,10,0.001,3,0.01,9.85,2.465,0.446,0.729
poly,2,10,0.001,3,0.1,9.535,2.439,0.467,0.739
poly,2,10,0.001,3,0.5,9.903,2.471,0.466,0.731
poly,2,10,0.001,3,0.8,9.02,2.378,0.506,0.752
poly,2,10,0.001,4,0.01,9.914,2.467,0.441,0.727
poly,2,10,0.001,4,0.1,9.512,2.439,0.468,0.739
poly,2,10,0.001,4,0.5,9.906,2.478,0.465,0.73
poly,2,10,0.001,4,0.8,8.983,2.377,0.506,0.751
poly,2,15,0.1,1,0.01,12.632,2.687,0.259,0.649
