kernel,C,gamma,epsilon,MSE,MAE,R^2-Score,PCC
RBF,5,0.1,0.001,10.767,2.561,0.459,0.686
RBF,5,0.1,0.01,10.737,2.556,0.461,0.687
RBF,5,0.1,0.1,10.529,2.526,0.471,0.693
RBF,5,0.1,0.5,9.416,2.456,0.529,0.73
RBF,5,0.1,0.8,10.178,2.597,0.492,0.708
RBF,5,0.01,0.001,8.975,2.357,0.547,0.742
RBF,5,0.01,0.01,8.958,2.356,0.548,0.742
RBF,5,0.01,0.1,9.065,2.365,0.542,0.739
RBF,5,0.01,0.5,8.774,2.385,0.559,0.753
RBF,5,0.01,0.8,8.577,2.367,0.569,0.759
RBF,5,0.001,0.001,9.929,2.476,0.501,0.726
RBF,5,0.001,0.01,9.881,2.469,0.504,0.728
RBF,5,0.001,0.1,9.877,2.473,0.505,0.728
RBF,5,0.001,0.5,9.88,2.49,0.505,0.739
RBF,5,0.001,0.8,10.622,2.599,0.469,0.736
RBF,5,0.0001,0.001,15.726,3.056,0.216,0.742
RBF,5,0.0001,0.01,15.697,3.054,0.217,0.743
RBF,5,0.0001,0.1,15.665,3.056,0.219,0.744
RBF,5,0.0001,0.5,16.112,3.088,0.195,0.747
RBF,5,0.0001,0.8,16.494,3.169,0.177,0.745
RBF,10,0.1,0.001,11.435,2.615,0.425,0.671
RBF,10,0.1,0.01,11.445,2.615,0.424,0.671
RBF,10,0.1,0.1,11.111,2.586,0.441,0.677
RBF,10,0.1,0.5,10.037,2.53,0.498,0.709
RBF,10,0.1,0.8,10.122,2.589,0.496,0.71
RBF,10,0.01,0.001,8.698,2.328,0.56,0.751
RBF,10,0.01,0.01,8.637,2.322,0.563,0.752
RBF,10,0.01,0.1,8.706,2.344,0.56,0.749
RBF,10,0.01,0.5,8.418,2.348,0.577,0.761
RBF,10,0.01,0.8,8.629,2.369,0.566,0.754
RBF,10,0.001,0.001,9.721,2.458,0.51,0.719
RBF,10,0.001,0.01,9.708,2.457,0.511,0.72
RBF,10,0.001,0.1,9.554,2.442,0.519,0.725
RBF,10,0.001,0.5,9.591,2.466,0.519,0.733
RBF,10,0.001,0.8,9.566,2.477,0.521,0.737
RBF,10,0.0001,0.001,12.737,2.769,0.364,0.741
RBF,10,0.0001,0.01,12.774,2.772,0.362,0.741
RBF,10,0.0001,0.1,13.059,2.8,0.348,0.744
RBF,10,0.0001,0.5,13.344,2.841,0.333,0.748
RBF,10,0.0001,0.8,14.458,2.973,0.278,0.742
RBF,15,0.1,0.001,11.846,2.675,0.404,0.664
RBF,15,0.1,0.01,11.847,2.673,0.404,0.663
RBF,15,0.1,0.1,11.753,2.646,0.408,0.661
RBF,15,0.1,0.5,10.087,2.533,0.495,0.707
RBF,15,0.1,0.8,10.122,2.589,0.496,0.71
RBF,15,0.01,0.001,8.528,2.314,0.568,0.755
RBF,15,0.01,0.01,8.498,2.313,0.57,0.756
RBF,15,0.01,0.1,8.495,2.324,0.57,0.755
RBF,15,0.01,0.5,8.414,2.345,0.577,0.76
RBF,15,0.01,0.8,8.702,2.365,0.563,0.752
RBF,15,0.001,0.001,9.794,2.463,0.506,0.716
RBF,15,0.001,0.01,9.745,2.457,0.509,0.718
RBF,15,0.001,0.1,9.589,2.44,0.516,0.723
RBF,15,0.001,0.5,9.557,2.464,0.521,0.73
RBF,15,0.001,0.8,9.049,2.402,0.546,0.746
RBF,15,0.0001,0.001,11.962,2.681,0.402,0.741
RBF,15,0.0001,0.01,11.914,2.674,0.404,0.742
RBF,15,0.0001,0.1,11.671,2.656,0.417,0.743
RBF,15,0.0001,0.5,12.383,2.734,0.381,0.748
RBF,15,0.0001,0.8,13.239,2.866,0.339,0.741
RBF,20,0.1,0.001,12.25,2.721,0.384,0.657
RBF,20,0.1,0.01,12.23,2.716,0.385,0.656
RBF,20,0.1,0.1,11.966,2.662,0.398,0.656
RBF,20,0.1,0.5,10.025,2.522,0.498,0.709
RBF,20,0.1,0.8,10.122,2.589,0.496,0.71
RBF,20,0.01,0.001,8.504,2.3,0.57,0.756
RBF,20,0.01,0.01,8.49,2.298,0.571,0.756
RBF,20,0.01,0.1,8.487,2.312,0.57,0.755
RBF,20,0.01,0.5,8.382,2.34,0.578,0.761
RBF,20,0.01,0.8,8.751,2.362,0.561,0.75
RBF,20,0.001,0.001,9.72,2.455,0.51,0.719
RBF,20,0.001,0.01,9.727,2.455,0.509,0.718
RBF,20,0.001,0.1,9.666,2.446,0.512,0.719
RBF,20,0.001,0.5,9.639,2.472,0.516,0.726
RBF,20,0.001,0.8,8.994,2.396,0.549,0.746
RBF,20,0.0001,0.001,11.103,2.574,0.444,0.739
RBF,20,0.0001,0.01,11.098,2.575,0.444,0.738
RBF,20,0.0001,0.1,10.916,2.573,0.454,0.741
RBF,20,0.0001,0.5,11.542,2.643,0.424,0.745
RBF,20,0.0001,0.8,12.415,2.788,0.38,0.74
